Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Gaussian_Config1_Approx_100_8bit_B_cir13,14.706,112.807,706
Gaussian_Config1_Approx_10_8bit_C_cir14,16.074,87.345,680
Gaussian_Config1_Approx_100_8bit_C_cir5,17.442,175.675,693
Gaussian_Config1_Approx_100_8bit_B_cir6,17.784,69.234,856
Gaussian_Config1_Approx_100_8bit_C_cir17,19.152,108.077,831
Gaussian_Config1_Approx_100_8bit_C_cir11,19.152,173.159,592
Gaussian_Config1_Approx_100_8bit_C_cir1,19.152,188.016,528
Gaussian_Config1_Approx_100_8bit_B_cir16,19.494,150.25,722
Gaussian_Config1_Approx_100_8bit_C_cir18,19.494,225.404,660
Gaussian_Config1_Approx_100_8bit_C_cir10,19.836,188.43,708
Gaussian_Config1_Approx_100_10_8bit_B_cir5,20.178,169.798,968
Gaussian_Config1_Approx_100_8bit_A_cir3,20.862,153.248,865
Gaussian_Config1_Approx_100_8bit_B_cir18,20.862,223.93,846
Gaussian_Config1_Approx_100_8bit_C_cir13,21.204,278.007,575
Gaussian_Config1_Approx_100_8bit_A_cir9,22.23,262.185,808
Gaussian_Config1_Approx_100_8bit_C_cir14,22.572,206.528,746
Gaussian_Config1_Approx_100_8bit_C_cir3,22.572,292.273,639
Gaussian_Config1_Approx_100_8bit_C_cir7,23.256,307.247,606
Gaussian_Config1_Approx_100_8bit_C_cir8,23.94,316.241,790
Gaussian_Config1_Approx_100_8bit_C_cir19,24.282,290.812,730
Gaussian_Config4_Approx_100_8bit_C_cir7,65.322,603.696,1253
Gaussian_Config4_Approx_10_8bit_C_cir15,71.136,679.799,1501
Gaussian_Config4_Approx_100_8bit_C_cir0,77.976,903.737,1486
Gaussian_Config4_Approx_100_8bit_C_cir13,79.686,1405.28,1652
Gaussian_Config3_Approx_100_8bit_C_cir16,89.604,1527.884,1445
Gaussian_Config3_Approx_100_8bit_C_cir12,99.864,1640.206,1286
Gaussian_Config3_Approx_100_8bit_C_cir11,103.626,1492.14,1978
Gaussian_Config3_Approx_10_8bit_C_cir10,104.652,1647.744,1607
Gaussian_Config3_Approx_100_8bit_C_cir2,109.098,1723.071,2347
Gaussian_Config3_Approx_100_8bit_C_cir10,109.782,2340.5,1193
Gaussian_Config3_Approx_100_8bit_C_cir6,111.15,2004.793,2046
Gaussian_Config3_Approx_100_8bit_C_cir1,112.518,1707.647,1629
Gaussian_Config3_Approx_100_8bit_C_cir15,114.57,2105.509,1838
Gaussian_Config3_Approx_100_8bit_C_cir9,115.938,1659.573,2122
Gaussian_Config3_Approx_100_8bit_C_cir5,119.7,2183.857,2261
Gaussian_Config3_Approx_10_8bit_C_cir5,121.752,2514.995,1945
Gaussian_Config3_Approx_10_8bit_C_cir6,123.804,2154.767,2204
Gaussian_Config3_Approx_100_8bit_C_cir0,125.856,1781.309,2211
Gaussian_Config3_Approx_100_8bit_C_cir13,126.198,1965.568,1839
Gaussian_Config3_Approx_100_8bit_C_cir4,137.484,2597.486,2346
Gaussian_Config3_Approx_10_8bit_C_cir17,146.718,3167.85,2931
Gaussian_Config3_Approx_100_8bit_C_cir18,153.216,2830.684,2232
Gaussian_Config2_Approx_100_8bit_C_cir11,199.386,4597.836,2858
Gaussian_Config4_Approx_100_8bit_C_cir10,58.482,595.945,1252
Gaussian_Config4_Approx_100_8bit_B_cir5,60.876,531.746,1282
Gaussian_Config4_Approx_100_8bit_B_cir8,61.902,724.479,1521
Gaussian_Config4_Approx_10_8bit_B_cir7,64.296,781.558,1981
Gaussian_Config4_Approx_100_8bit_B_cir18,66.348,819.275,1218
Gaussian_Config4_Approx_10_8bit_C_cir17,66.69,911.103,1034
Gaussian_Config4_Approx_100_8bit_C_cir9,73.872,909.309,1165
Gaussian_Config4_Approx_100_8bit_C_cir4,76.266,1045.012,1427
Gaussian_Config4_Approx_100_8bit_C_cir19,77.976,392.696,949
Gaussian_Config4_Approx_10_8bit_C_cir6,77.976,823.787,1450
Gaussian_Config4_Approx_10_8bit_C_cir3,82.764,1380.63,1360
Gaussian_Config4_Approx_100_8bit_C_cir15,87.552,1528.275,1263
Gaussian_Config3_Approx_10_8bit_C_cir12,97.812,1952.001,1339
Gaussian_Config3_Approx_10_8bit_C_cir4,98.838,1563.689,1498
Gaussian_Config3_Approx_10_8bit_C_cir2,105.678,2105.562,1578
Gaussian_Config3_Approx_10_8bit_C_cir18,111.834,1846.953,1807
Gaussian_Config3_Approx_10_8bit_C_cir7,112.518,2130.028,1824
Gaussian_Config3_Approx_10_8bit_C_cir0,113.886,1630.03,1725
Gaussian_Config3_Approx_100_8bit_C_cir7,120.042,2182.898,1592
Gaussian_Config3_Approx_10_8bit_C_cir9,126.54,2324.817,1598
Gaussian_Config3_Approx_100_8bit_C_cir3,134.064,1513.557,1830
Gaussian_Config3_Approx_10_8bit_C_cir8,138.168,2915.375,1793
Gaussian_Config3_Approx_100_8bit_C_cir8,152.874,2607.15,1973
Gaussian_Config3_Approx_100_8bit_C_cir14,142.956,1963.465,1793
Gaussian_Config1_Approx_10_10_SL_8bit_A_cir8,15.39,206.25,452
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir18,20.862,233.413,718
Gaussian_Config4_Approx_100_8bit_C_cir14,77.634,376.448,780
Gaussian_Config4_Approx_100_8bit_C_cir3,86.868,916.591,1830
Gaussian_Config1_Approx_100_10_8bit_A_cir17,8.892,38.829,492
Gaussian_Config1_Approx_100_10_8bit_B_cir19,9.918,34.306,542
Gaussian_Config1_Approx_100_8bit_B_cir1,9.918,39.757,493
Gaussian_Config1_Approx_10_8bit_A_cir9,9.918,42.957,493
Gaussian_Config1_Approx_100_10_8bit_C_cir14,9.918,44.559,493
Gaussian_Config1_Approx_100_8bit_C_cir12,9.918,44.692,481
Gaussian_Config1_Approx_100_10_8bit_B_cir18,9.918,46.842,456
Gaussian_Config1_Approx_100_10_8bit_C_cir3,9.918,48.048,542
Gaussian_Config1_Approx_100_8bit_C_cir9,9.918,49.454,493
Gaussian_Config1_Approx_100_10_8bit_C_cir2,9.918,53.505,493
Gaussian_Config1_Approx_100_10_8bit_C_cir17,9.918,55.237,481
Gaussian_Config1_Approx_10_8bit_A_cir10,10.26,41.412,488
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir9,10.26,61.022,546
Gaussian_Config1_Approx_100_10_8bit_C_cir8,10.26,73.729,422
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir10,10.26,75.329,422
Gaussian_Config1_Approx_100_10_8bit_A_cir10,10.26,75.33,422
Gaussian_Config1_Approx_100_8bit_A_cir17,10.26,76.513,423
Gaussian_Config1_Approx_100_10_8bit_C_cir10,10.26,77.063,407
Gaussian_Config1_Approx_100_10_8bit_A_cir4,10.26,78.531,422
Gaussian_Config1_Approx_100_10_8bit_C_cir9,10.26,78.662,407
Gaussian_Config1_Approx_100_10_8bit_C_cir1,10.26,82.578,422
Gaussian_Config1_Approx_100_8bit_B_cir7,10.26,83.425,422
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir12,10.26,83.426,422
Gaussian_Config1_Approx_100_10_8bit_C_cir4,10.26,87.476,422
Gaussian_Config1_Approx_100_8bit_C_cir4,10.602,27.362,524
Gaussian_Config1_Approx_10_8bit_C_cir9,10.602,27.364,538
Gaussian_Config1_Approx_100_10_8bit_A_cir8,10.602,33.011,524
Gaussian_Config1_Approx_10_8bit_B_cir8,10.602,35.458,538
Gaussian_Config1_Approx_100_10_8bit_B_cir16,10.602,43.589,569
Gaussian_Config1_Approx_100_8bit_B_cir15,10.602,43.703,575
Gaussian_Config1_Approx_100_10_8bit_C_cir11,10.602,44.641,639
Gaussian_Config1_Approx_100_8bit_C_cir15,10.602,45.19,569
Gaussian_Config1_Approx_100_10_8bit_B_cir14,10.602,48.687,614
Gaussian_Config1_Approx_100_8bit_A_cir19,10.602,51.79,551
Gaussian_Config1_Approx_10_8bit_A_cir13,10.602,87.373,407
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir11,10.602,88.974,407
Gaussian_Config1_Approx_10_8bit_B_cir17,10.602,89.804,561
Gaussian_Config1_Approx_100_8bit_C_cir2,10.602,92.889,422
Gaussian_Config1_Approx_100_8bit_A_cir13,10.944,30.72,586
Gaussian_Config1_Approx_10_8bit_C_cir5,10.944,35.464,500
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir7,10.944,38.039,498
Gaussian_Config1_Approx_100_10_8bit_C_cir0,10.944,39.874,551
Gaussian_Config1_Approx_10_8bit_C_cir12,10.944,44.533,661
Gaussian_Config1_Approx_10_8bit_C_cir6,10.944,44.675,551
Gaussian_Config1_Approx_100_10_8bit_C_cir6,10.944,46.279,655
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir13,11.286,44.897,556
Gaussian_Config1_Approx_100_10_8bit_C_cir13,11.286,64.354,502
Gaussian_Config1_Approx_100_8bit_B_cir4,11.628,83.253,463
Gaussian_Config1_Approx_10_8bit_C_cir8,11.628,93.898,418
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir0,11.628,94.694,433
Gaussian_Config1_Approx_100_10_8bit_B_cir0,11.628,95.556,456
Gaussian_Config1_Approx_100_10_8bit_A_cir6,11.628,95.641,456
Gaussian_Config1_Approx_100_10_8bit_B_cir12,11.628,96.446,441
Gaussian_Config1_Approx_100_8bit_A_cir0,11.628,98.042,441
Gaussian_Config1_Approx_100_8bit_C_cir16,11.628,98.045,441
Gaussian_Config1_Approx_100_10_8bit_A_cir1,11.628,100.875,462
Gaussian_Config1_Approx_10_8bit_A_cir7,11.628,106.757,433
Gaussian_Config1_Approx_10_8bit_A_cir0,11.628,108.357,433
Gaussian_Config1_Approx_100_10_8bit_C_cir5,11.628,108.594,441
Gaussian_Config1_Approx_100_10_8bit_C_cir12,11.628,108.928,548
Gaussian_Config1_Approx_100_10_8bit_C_cir15,11.628,110.191,441
Gaussian_Config1_Approx_100_8bit_B_cir17,11.97,35.29,562
Gaussian_Config1_Approx_100_10_8bit_C_cir18,11.97,99.901,423
Gaussian_Config1_Approx_100_10_8bit_B_cir13,12.312,34.739,636
Gaussian_Config1_Approx_100_8bit_B_cir19,12.654,75.464,676
Gaussian_Config1_Approx_10_8bit_C_cir7,13.338,87.369,491
Gaussian_Config3_Approx_100_8bit_C_cir17,146.718,2623.13,2549
Gaussian_Config3_Approx_10_8bit_C_cir19,146.034,2161.889,2292
Gaussian_Config2_Approx_100_10_8bit_C_cir6,216.828,4360.408,2439
Gaussian_Config4_Approx_100_8bit_B_cir14,68.058,638.321,1508
Gaussian_Config3_Approx_10_8bit_C_cir3,150.822,2728.832,2114
Gaussian_Config4_Approx_100_8bit_C_cir2,90.63,861.424,2053
Gaussian_Config4_Approx_100_8bit_C_cir12,73.188,395.917,867
Gaussian_Config1_Approx_10_10_SL_8bit_A_cir7,6.498,25.072,499
Gaussian_Config1_Approx_100_8bit_A_cir2,5.814,22.404,412
Gaussian_Config1_Approx_10_8bit_B_cir15,5.814,22.405,412
Gaussian_Config1_Approx_10_8bit_B_cir14,5.814,24.028,412
Gaussian_Config1_Approx_100_10_8bit_A_cir13,5.814,24.03,412
Gaussian_Config1_Approx_100_8bit_B_cir14,5.814,24.031,412
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir7,5.814,24.032,412
Gaussian_Config1_Approx_100_10_8bit_A_cir16,5.814,24.484,412
Gaussian_Config1_Approx_100_10_8bit_A_cir9,5.814,24.485,412
Gaussian_Config1_Approx_100_8bit_A_cir16,5.814,24.486,412
Gaussian_Config1_Approx_100_10_8bit_A_cir0,5.814,24.938,412
Gaussian_Config1_Approx_10_8bit_B_cir10,5.814,24.939,412
Gaussian_Config1_Approx_10_8bit_C_cir19,5.814,24.94,412
Gaussian_Config1_Approx_100_8bit_A_cir10,5.814,25.392,412
Gaussian_Config1_Approx_100_10_8bit_B_cir11,5.814,25.393,412
Gaussian_Config1_Approx_100_10_8bit_B_cir3,5.814,25.394,412
Gaussian_Config1_Approx_100_8bit_B_cir9,5.814,26.563,412
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir4,5.814,26.564,412
Gaussian_Config1_Approx_100_10_8bit_A_cir18,5.814,26.567,412
Gaussian_Config1_Approx_100_10_8bit_A_cir3,5.814,27.017,412
Gaussian_Config1_Approx_100_10_8bit_A_cir12,5.814,27.018,412
Gaussian_Config1_Approx_100_10_8bit_B_cir15,5.814,27.02,412
Gaussian_Config1_Approx_100_10_8bit_A_cir5,5.814,27.471,412
Gaussian_Config1_Approx_100_8bit_B_cir11,5.814,27.472,412
Gaussian_Config1_Approx_10_8bit_A_cir16,5.814,27.473,412
Gaussian_Config1_Approx_100_10_8bit_A_cir7,5.814,27.474,412
Gaussian_Config1_Approx_100_10_8bit_A_cir2,5.814,27.927,412
Gaussian_Config1_Approx_100_8bit_B_cir8,5.814,27.928,412
Gaussian_Config1_Approx_100_10_8bit_A_cir15,5.814,27.929,412
Gaussian_Config1_Approx_100_10_8bit_B_cir2,5.814,27.93,412
Gaussian_Config1_Approx_100_8bit_B_cir5,5.814,28.379,412
Gaussian_Config1_Approx_100_10_8bit_B_cir8,5.814,28.38,412
Gaussian_Config1_Approx_100_10_8bit_B_cir1,5.814,28.643,412
Gaussian_Config1_Approx_100_8bit_A_cir8,5.814,28.644,412
Gaussian_Config1_Approx_100_8bit_A_cir7,5.814,28.645,412
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir5,5.814,28.646,412
Gaussian_Config1_Approx_100_10_8bit_A_cir19,5.814,30.007,412
Gaussian_Config1_Approx_100_10_8bit_B_cir17,5.814,30.009,412
Gaussian_Config1_Approx_100_10_8bit_A_cir14,5.814,32.085,412
Gaussian_Config1_Approx_100_10_8bit_A_cir11,5.814,32.088,412
Gaussian_Config1_Approx_100_8bit_B_cir0,5.814,32.996,412
Gaussian_Config4_Approx_100_8bit_C_cir11,85.158,655.384,1741
Gaussian_Config4_Approx_100_8bit_B_cir1,64.638,450.179,1566
Gaussian_Config3_Approx_10_8bit_C_cir15,139.878,2555.228,2906
Gaussian_Config3_Approx_10_8bit_C_cir16,135.432,1716.817,1962
Gaussian_Config3_Approx_10_8bit_C_cir13,133.038,2754.074,1865
Gaussian_Config3_Approx_10_8bit_C_cir1,137.142,2141.261,2222
Gaussian_Config3_Approx_100_8bit_C_cir19,128.592,2405.218,2009
Gaussian_Config4_Approx_10_8bit_C_cir5,81.396,912.838,1297
Gaussian_Config3_Approx_10_8bit_C_cir11,152.874,2185.527,2258
Gaussian_Config2_Approx_100_10_8bit_C_cir9,187.416,4434.243,2175
Gaussian_Config3_Approx_10_8bit_C_cir14,155.952,1885.361,2164
Gaussian_Config4_Approx_10_8bit_B_cir4,65.322,853.19,1164
Gaussian_Config2_Approx_100_10_8bit_C_cir17,194.256,4225.546,2141
Gaussian_Config4_Approx_100_8bit_C_cir16,91.998,1195.815,1686
Gaussian_Config2_Approx_100_10_8bit_C_cir16,225.378,5044.967,2563
Gaussian_Config4_Approx_100_8bit_A_cir12,55.062,615.652,1145
Gaussian_Config4_Approx_100_8bit_C_cir18,76.95,978.068,1414
Gaussian_Config4_Approx_100_8bit_A_cir4,50.958,445.435,1215
Gaussian_Config4_Approx_100_8bit_B_cir9,65.664,543.217,1463
Gaussian_Config4_Approx_10_8bit_B_cir16,65.664,766.351,1332
Gaussian_Config4_Approx_100_8bit_B_cir13,60.192,341.062,1226
Gaussian_Config2_Approx_100_10_8bit_C_cir1,229.824,5168.648,2917
Gaussian_Config4_Approx_10_8bit_A_cir16,54.036,739.868,1261
Gaussian_Config2_Approx_100_8bit_C_cir10,225.378,4651.68,3098
Gaussian_Config2_Approx_100_10_8bit_C_cir14,207.594,4069.151,2753
Gaussian_Config4_Approx_100_8bit_A_cir2,51.984,590.283,922
Gaussian_Config4_Approx_100_10_8bit_B_cir7,39.33,346.586,1000
Gaussian_Config4_Approx_10_8bit_A_cir9,43.776,326.478,1088
Gaussian_Config4_Approx_100_8bit_B_cir4,46.17,289.148,1332
Gaussian_Config4_Approx_10_8bit_A_cir8,48.564,351.256,1001
Gaussian_Config4_Approx_10_8bit_C_cir4,57.798,413.145,1203
Gaussian_Config4_Approx_10_8bit_A_cir1,40.356,460.307,767
Gaussian_Config4_Approx_100_8bit_C_cir6,40.698,265.674,972
Gaussian_Config4_Approx_10_8bit_A_cir19,41.724,190.458,983
Gaussian_Config4_Approx_10_8bit_A_cir18,42.75,335.29,876
Gaussian_Config4_Approx_100_8bit_A_cir8,42.75,387.418,1338
Gaussian_Config4_Approx_100_8bit_B_cir17,44.46,337.034,1168
Gaussian_Config4_Approx_10_8bit_A_cir13,44.46,345.587,1438
Gaussian_Config4_Approx_10_8bit_B_cir6,44.802,266.433,898
Gaussian_Config4_Approx_10_8bit_C_cir14,45.144,190.526,1165
Gaussian_Config4_Approx_10_8bit_C_cir8,45.486,118.281,1070
Gaussian_Config4_Approx_10_8bit_C_cir0,45.828,213.307,1469
Gaussian_Config4_Approx_100_8bit_A_cir5,46.854,339.616,1024
Gaussian_Config4_Approx_10_8bit_B_cir17,47.196,541.682,752
Gaussian_Config4_Approx_10_8bit_B_cir1,48.564,125.995,1624
Gaussian_Config4_Approx_100_8bit_A_cir13,48.564,427.227,1155
Gaussian_Config4_Approx_10_8bit_C_cir2,49.248,239.195,1190
Gaussian_Config4_Approx_10_8bit_A_cir12,51.642,190.985,1303
Gaussian_Config4_Approx_100_8bit_C_cir1,52.326,182.742,1608
Gaussian_Config4_Approx_100_8bit_A_cir18,34.542,319.322,1056
Gaussian_Config4_Approx_100_8bit_A_cir10,34.884,179.738,1246
Gaussian_Config4_Approx_10_8bit_B_cir5,35.568,161.975,1328
Gaussian_Config4_Approx_10_8bit_C_cir19,36.252,180.069,1242
Gaussian_Config4_Approx_10_8bit_B_cir13,36.936,276.471,1199
Gaussian_Config4_Approx_10_8bit_A_cir0,38.304,319.467,1087
Gaussian_Config4_Approx_100_8bit_A_cir14,38.646,184.992,1417
Gaussian_Config4_Approx_10_8bit_C_cir9,38.646,342.52,943
Gaussian_Config4_Approx_10_8bit_B_cir3,38.988,218.972,1084
Gaussian_Config4_Approx_10_8bit_C_cir7,39.33,313.491,1357
Gaussian_Config4_Approx_100_8bit_A_cir16,39.672,183.973,1108
Gaussian_Config4_Approx_10_8bit_C_cir12,39.672,217.393,1294
