Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Gaussian_Config1_Approx_100_10_5bit_C_cir1,7.524,52.842,420
Gaussian_Config1_Approx_10_5bit_A_cir1,7.524,52.843,420
Gaussian_Config1_Approx_100_10_5bit_A_cir1,7.524,52.844,420
Gaussian_Config1_Approx_100_10_5bit_A_cir12,7.866,73.144,368
Gaussian_Config1_Approx_10_10_SL_5bit_A_cir16,9.234,87.008,262
Gaussian_Config1_Approx_100_5bit_C_cir2,9.234,88.695,262
Gaussian_Config1_Approx_100_5bit_B_cir19,9.234,89.026,262
Gaussian_Config1_Approx_10_5bit_B_cir17,9.234,92.483,402
Gaussian_Config1_Approx_10_10_SL_5bit_B_cir4,9.234,92.49,402
Gaussian_Config1_Approx_100_5bit_A_cir9,9.234,92.494,262
Gaussian_Config1_Approx_100_5bit_A_cir3,9.234,92.529,262
Gaussian_Config1_Approx_100_5bit_C_cir5,9.234,92.629,262
Gaussian_Config1_Approx_100_10_5bit_B_cir4,9.234,92.642,402
Gaussian_Config1_Approx_10_10_SL_5bit_B_cir6,9.234,95.478,402
Gaussian_Config1_Approx_100_10_5bit_A_cir0,9.234,95.499,402
Gaussian_Config1_Approx_100_10_5bit_B_cir16,9.234,95.512,402
Gaussian_Config1_Approx_10_5bit_A_cir15,9.234,96.101,262
Gaussian_Config1_Approx_100_5bit_C_cir6,9.234,96.154,262
Gaussian_Config1_Approx_100_5bit_B_cir16,9.234,96.434,262
Gaussian_Config1_Approx_100_5bit_C_cir0,9.234,96.445,262
Gaussian_Config1_Approx_10_5bit_C_cir3,9.234,98.102,262
Gaussian_Config1_Approx_10_5bit_C_cir14,9.234,98.116,262
Gaussian_Config1_Approx_10_5bit_B_cir15,9.234,98.117,262
Gaussian_Config1_Approx_10_10_SL_5bit_B_cir19,9.234,98.167,262
Gaussian_Config1_Approx_100_5bit_A_cir12,9.234,98.452,262
Gaussian_Config1_Approx_100_10_5bit_B_cir11,9.234,98.463,262
Gaussian_Config1_Approx_100_5bit_B_cir9,9.234,98.634,402
Gaussian_Config1_Approx_100_10_5bit_B_cir8,9.234,98.859,402
Gaussian_Config1_Approx_100_10_5bit_B_cir3,9.234,100.466,262
Gaussian_Config1_Approx_100_10_5bit_B_cir19,9.234,101.466,402
Gaussian_Config1_Approx_100_5bit_B_cir2,9.234,101.944,402
Gaussian_Config1_Approx_100_10_5bit_C_cir8,9.234,104.501,262
Gaussian_Config1_Approx_100_5bit_A_cir5,9.234,105.64,262
Gaussian_Config1_Approx_10_10_SL_5bit_A_cir4,9.234,105.975,262
Gaussian_Config1_Approx_100_10_5bit_B_cir10,9.234,107.655,262
Gaussian_Config1_Approx_10_5bit_B_cir11,9.234,107.992,262
Gaussian_Config1_Approx_10_10_SL_5bit_B_cir11,9.234,111.268,262
Gaussian_Config1_Approx_100_5bit_A_cir0,9.234,111.269,262
Gaussian_Config1_Approx_100_5bit_A_cir15,9.234,111.663,262
Gaussian_Config1_Approx_100_10_5bit_B_cir15,9.234,115.272,262
Gaussian_Config1_Approx_100_10_5bit_C_cir3,9.234,115.315,262
Gaussian_Config1_Approx_100_10_5bit_A_cir5,9.234,115.603,262
Gaussian_Config1_Approx_10_5bit_C_cir7,9.234,116.944,262
Gaussian_Config1_Approx_100_10_5bit_A_cir15,9.234,117.622,262
Gaussian_Config4_Approx_10_5bit_C_cir18,10.944,69.058,538
Gaussian_Config4_Approx_100_5bit_C_cir17,10.944,71.014,538
Gaussian_Config1_Approx_100_5bit_B_cir12,10.944,127.586,422
Gaussian_Config4_Approx_10_10_SL_5bit_B_cir9,11.286,121.715,493
Gaussian_Config4_Approx_10_10_SL_5bit_C_cir6,11.286,123.32,493
Gaussian_Config4_Approx_100_5bit_C_cir18,11.628,149.722,396
Gaussian_Config4_Approx_10_10_SL_5bit_B_cir5,11.97,163.346,476
Gaussian_Config4_Approx_10_10_SL_5bit_C_cir7,12.654,147.488,534
Gaussian_Config4_Approx_10_5bit_C_cir5,12.654,156.777,534
Gaussian_Config4_Approx_100_10_5bit_C_cir9,13.338,161.516,576
Gaussian_Config4_Approx_10_10_SL_5bit_B_cir4,13.338,174.103,489
Gaussian_Config4_Approx_10_5bit_C_cir1,13.68,117.627,573
Gaussian_Config4_Approx_100_10_5bit_B_cir2,13.68,130.65,806
Gaussian_Config4_Approx_10_5bit_B_cir6,13.68,151.952,464
Gaussian_Config4_Approx_10_5bit_C_cir9,13.68,167.982,488
Gaussian_Config4_Approx_10_10_SL_5bit_B_cir13,14.022,155.163,615
Gaussian_Config4_Approx_10_5bit_B_cir16,14.022,155.164,615
