Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
Gaussian_Config1_Approx_100_10_6bit_A_cir10,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_10_10_SL_6bit_B_cir17,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_B_cir17,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_A_cir3,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_A_cir0,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_6bit_B_cir0,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_6bit_B_cir11,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_B_cir2,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_B_cir14,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_B_cir15,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_6bit_A_cir8,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_A_cir9,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_6bit_C_cir16,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_6bit_C_cir12,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_6bit_A_cir18,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_10_10_SL_6bit_C_cir2,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_10_10_SL_6bit_A_cir16,0,0,0,0,0,0,0,0,0,0,0
