Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
tanh_Config1_Approx_100_10_4bit_A_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_10_4bit_C_cir17,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_10_4bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_10_4bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_10_10_SL_4bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_10_4bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_4bit_C_cir4,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_4bit_C_cir8,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_100_10_4bit_C_cir0,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
tanh_Config2_Approx_100_10_4bit_C_cir1,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
tanh_Config3_Approx_100_4bit_C_cir0,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
tanh_Config3_Approx_100_10_4bit_C_cir11,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
tanh_Config3_Approx_10_4bit_C_cir14,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
tanh_Config3_Approx_10_4bit_C_cir15,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
tanh_Config3_Approx_10_4bit_C_cir6,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
tanh_Config2_Approx_100_4bit_B_cir12,1,0.0625,0.5,0,0.125,1,0.03125,0.015625,0.03125,0,0
tanh_Config2_Approx_100_10_4bit_A_cir13,1,0.0625,0.5,0,0.125,1,0.03125,0.015625,0.03125,0,0
tanh_Config2_Approx_100_10_4bit_A_cir1,1,0.0625,0.5,0,0.125,1,0.03125,0.015625,0.03125,0,0
tanh_Config3_Approx_100_4bit_C_cir6,1,0.0625,0.5,0,0.125,1,0.03125,0.015625,0.03125,0,0
tanh_Config2_Approx_10_4bit_B_cir2,2,0.125,0.25,0,0.0853912563829966,2,0.03125,0.0078125,0.03125,0,0
tanh_Config2_Approx_100_10_4bit_A_cir0,2,0.125,0.5,0,0.135976407267339,2,0.046875,0.01953125,0.046875,0,0
tanh_Config3_Approx_100_10_4bit_B_cir10,2,0.125,0.5,0,0.135976407267339,2,0.046875,0.01953125,0.046875,0,0
tanh_Config3_Approx_100_4bit_B_cir4,2,0.125,0.5,0,0.135976407267339,2,0.046875,0.01953125,0.046875,0,0
tanh_Config3_Approx_100_10_4bit_B_cir19,2,0.125,0.5,0,0.135976407267339,2,0.046875,0.01953125,0.046875,0,0
tanh_Config3_Approx_100_10_4bit_B_cir1,3,0.1875,0.5,0,0.144337567297406,3,0.0625,0.0234375,0.0625,0,0
tanh_Config3_Approx_10_10_SL_4bit_B_cir17,3,0.1875,0.5,0,0.176038584785647,3,0.078125,0.03515625,0.078125,0,0
tanh_Config3_Approx_10_10_SL_4bit_B_cir5,3,0.1875,0.5,0,0.176038584785647,3,0.078125,0.03515625,0.078125,0,0
tanh_Config3_Approx_10_10_SL_4bit_B_cir6,3,0.1875,0.5,0,0.176038584785647,3,0.078125,0.03515625,0.078125,0,0
tanh_Config3_Approx_10_10_SL_4bit_B_cir7,3,0.1875,0.5,0,0.176038584785647,3,0.078125,0.03515625,0.078125,0,0
tanh_Config3_Approx_100_4bit_B_cir18,4,0.25,0.25,0,0.111803398874989,4,0.0625,0.015625,0.0625,0,0
tanh_Config3_Approx_100_10_4bit_B_cir0,4,0.25,0.25,0,0.111803398874989,4,0.0625,0.015625,0.0625,0,0
tanh_Config3_Approx_100_10_4bit_A_cir0,4,0.25,0.5,0,0.150519932234904,4,0.078125,0.02734375,0.078125,0,0
tanh_Config3_Approx_100_10_4bit_A_cir17,4,0.25,0.5,0,0.150519932234904,4,0.078125,0.02734375,0.078125,0,0
tanh_Config3_Approx_100_10_4bit_A_cir8,4,0.25,0.5,0,0.150519932234904,5,0.078125,0.02734375,0.078125,0,0
tanh_Config3_Approx_10_10_SL_4bit_A_cir0,4,0.25,0.5,0,0.179698822107065,4,0.09375,0.0390625,0.09375,0,0
tanh_Config3_Approx_10_10_SL_4bit_A_cir4,4,0.25,0.5,0,0.179698822107065,4,0.09375,0.0390625,0.09375,0,0
tanh_Config3_Approx_10_10_SL_4bit_A_cir1,4,0.25,0.5,0,0.203485257451246,4,0.109375,0.05078125,0.109375,0,0
tanh_Config3_Approx_10_10_SL_4bit_A_cir3,4,0.25,0.5,0,0.203485257451246,4,0.109375,0.05078125,0.109375,0,0
tanh_Config3_Approx_100_10_4bit_A_cir1,4,0.25,0.75,0,0.223023728184544,5,0.109375,0.05859375,0.109375,0,0
tanh_Config3_Approx_100_4bit_A_cir13,5,0.3125,0.5,0,0.181859607023293,5,0.109375,0.04296875,0.109375,0,0
tanh_Config3_Approx_100_10_4bit_A_cir10,5,0.3125,0.5,0,0.181859607023293,5,0.109375,0.04296875,0.109375,0,0
tanh_Config3_Approx_100_10_4bit_A_cir4,5,0.3125,0.75,0,0.223606797749979,6,0.125,0.0625,0.125,0,0
