Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
tanh_Config1_Approx_100_10_4bit_A_cir0,2.736,17.454,145
tanh_Config4_Approx_100_10_4bit_C_cir17,6.84,85.652,266
tanh_Config4_Approx_100_10_4bit_C_cir0,7.182,61.118,184
tanh_Config3_Approx_100_10_4bit_C_cir0,9.918,118.292,285
tanh_Config3_Approx_10_10_SL_4bit_C_cir10,10.602,96.182,487
tanh_Config3_Approx_100_10_4bit_C_cir10,10.602,132.69,423
tanh_Config3_Approx_100_4bit_C_cir4,10.602,133.124,423
tanh_Config3_Approx_100_4bit_C_cir8,12.996,154.666,535
tanh_Config2_Approx_100_10_4bit_C_cir0,5.13,53.268,183
tanh_Config2_Approx_100_10_4bit_C_cir1,5.13,66.719,277
tanh_Config3_Approx_100_4bit_C_cir0,7.524,88.895,285
tanh_Config3_Approx_100_10_4bit_C_cir11,7.866,95.417,285
tanh_Config3_Approx_10_4bit_C_cir14,8.892,105.924,289
tanh_Config3_Approx_10_4bit_C_cir15,8.892,124.366,408
tanh_Config3_Approx_10_4bit_C_cir6,9.234,89.582,215
tanh_Config2_Approx_100_4bit_B_cir12,4.104,47.143,172
tanh_Config2_Approx_100_10_4bit_A_cir13,4.788,43.131,248
tanh_Config2_Approx_100_10_4bit_A_cir1,4.788,54.178,170
tanh_Config3_Approx_100_4bit_C_cir6,8.55,105.178,200
tanh_Config2_Approx_10_4bit_B_cir2,4.788,90.549,235
tanh_Config2_Approx_100_10_4bit_A_cir0,2.052,24.499,83
tanh_Config3_Approx_100_10_4bit_B_cir10,4.788,50.998,143
tanh_Config3_Approx_100_4bit_B_cir4,5.13,57.521,152
tanh_Config3_Approx_100_10_4bit_B_cir19,8.55,111.754,450
tanh_Config3_Approx_100_10_4bit_B_cir1,4.788,54.918,176
tanh_Config3_Approx_10_10_SL_4bit_B_cir17,4.788,58.419,176
tanh_Config3_Approx_10_10_SL_4bit_B_cir5,5.472,50.003,193
tanh_Config3_Approx_10_10_SL_4bit_B_cir6,5.814,56.883,206
tanh_Config3_Approx_10_10_SL_4bit_B_cir7,5.814,60.601,217
tanh_Config3_Approx_100_4bit_B_cir18,5.13,35.995,215
tanh_Config3_Approx_100_10_4bit_B_cir0,5.472,48.899,204
tanh_Config3_Approx_100_10_4bit_A_cir0,2.736,25.816,137
tanh_Config3_Approx_100_10_4bit_A_cir17,4.446,64.022,165
tanh_Config3_Approx_100_10_4bit_A_cir8,2.736,19.647,135
tanh_Config3_Approx_10_10_SL_4bit_A_cir0,3.078,52.167,212
tanh_Config3_Approx_10_10_SL_4bit_A_cir4,3.42,23.831,117
tanh_Config3_Approx_10_10_SL_4bit_A_cir1,2.736,29.673,137
tanh_Config3_Approx_10_10_SL_4bit_A_cir3,4.104,42.703,143
tanh_Config3_Approx_100_10_4bit_A_cir1,3.078,31.195,206
tanh_Config3_Approx_100_4bit_A_cir13,4.104,35.117,135
tanh_Config3_Approx_100_10_4bit_A_cir10,4.446,46.665,206
tanh_Config3_Approx_100_10_4bit_A_cir4,3.078,31.195,206
