Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
tanh_Config1_Approx_100_5bit_B_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_5bit_B_cir18,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_5bit_C_cir3,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_5bit_B_cir1,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_5bit_B_cir14,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_5bit_A_cir19,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_5bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_5bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_10_5bit_C_cir4,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_10_5bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_5bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_10_5bit_C_cir17,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_10_10_SL_5bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_10_5bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_10_5bit_C_cir11,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_10_5bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_10_5bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_5bit_A_cir14,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config1_Approx_100_10_5bit_B_cir17,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config1_Approx_100_10_5bit_A_cir0,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config1_Approx_100_5bit_B_cir13,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config1_Approx_100_10_5bit_A_cir1,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config4_Approx_100_10_5bit_C_cir10,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config4_Approx_100_10_5bit_C_cir16,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config4_Approx_100_10_5bit_C_cir14,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config3_Approx_100_10_5bit_C_cir6,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config3_Approx_100_10_5bit_C_cir4,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config3_Approx_100_10_5bit_C_cir0,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config3_Approx_100_10_5bit_C_cir19,1,0.03125,0.125,0,0.0220970869120796,1,0.00390625,0.00048828125,0.00390625,0,0
tanh_Config3_Approx_10_10_SL_5bit_C_cir18,1,0.03125,0.25,0,0.0441941738241592,1,0.0078125,0.001953125,0.0078125,0,0
tanh_Config3_Approx_10_10_SL_5bit_C_cir4,1,0.03125,0.25,0,0.0441941738241592,1,0.0078125,0.001953125,0.0078125,0,0
tanh_Config2_Approx_100_5bit_C_cir15,1,0.03125,0.375,0,0.0662912607362388,2,0.01171875,0.00439453125,0.01171875,0,0
tanh_Config4_Approx_10_10_SL_5bit_C_cir15,1,0.03125,0.5,0,0.0883883476483184,1,0.015625,0.0078125,0.015625,0,0
tanh_Config3_Approx_10_10_SL_5bit_C_cir17,1,0.03125,0.5,0,0.0883883476483184,1,0.015625,0.0078125,0.015625,0,0
tanh_Config3_Approx_10_10_SL_5bit_C_cir12,1,0.03125,0.5,0,0.0883883476483184,1,0.015625,0.0078125,0.015625,0,0
tanh_Config4_Approx_100_10_5bit_A_cir18,2,0.0625,0.125,0,0.0307418360523728,2,0.0078125,0.0009765625,0.0078125,0,0
tanh_Config2_Approx_100_10_5bit_C_cir6,2,0.0625,0.125,0,0.0307418360523728,2,0.0078125,0.0009765625,0.0078125,0,0
tanh_Config2_Approx_100_10_5bit_C_cir18,2,0.0625,0.125,0,0.0307418360523728,2,0.0078125,0.0009765625,0.0078125,0,0
tanh_Config2_Approx_100_10_5bit_C_cir10,2,0.0625,0.125,0,0.0307418360523728,2,0.0078125,0.0009765625,0.0078125,0,0
tanh_Config2_Approx_10_5bit_C_cir16,2,0.0625,0.125,0,0.0307418360523728,2,0.0078125,0.0009765625,0.0078125,0,0
tanh_Config2_Approx_100_5bit_C_cir6,2,0.0625,0.125,0,0.0307418360523728,2,0.0078125,0.0009765625,0.0078125,0,0
tanh_Config2_Approx_100_10_5bit_C_cir2,2,0.0625,0.25,0,0.048768865249685,2,0.01171875,0.00244140625,0.01171875,0,0
tanh_Config2_Approx_10_5bit_C_cir14,2,0.0625,0.25,0,0.048768865249685,2,0.01171875,0.00244140625,0.01171875,0,0
tanh_Config2_Approx_100_10_5bit_C_cir15,2,0.0625,0.25,0,0.048768865249685,2,0.01171875,0.00244140625,0.01171875,0,0
tanh_Config3_Approx_10_10_SL_5bit_C_cir8,2,0.0625,0.25,0,0.048768865249685,2,0.01171875,0.00244140625,0.01171875,0,0
tanh_Config3_Approx_100_10_5bit_C_cir18,2,0.0625,0.25,0,0.048768865249685,2,0.01171875,0.00244140625,0.01171875,0,0
tanh_Config2_Approx_100_5bit_C_cir16,2,0.0625,0.25,0,0.048768865249685,2,0.01171875,0.00244140625,0.01171875,0,0
tanh_Config2_Approx_10_10_SL_5bit_C_cir16,2,0.0625,0.25,0,0.048768865249685,2,0.01171875,0.00244140625,0.01171875,0,0
tanh_Config2_Approx_100_5bit_C_cir3,2,0.0625,0.375,0,0.0691975899263327,3,0.015625,0.0048828125,0.015625,0,0
tanh_Config2_Approx_10_5bit_C_cir13,2,0.0625,0.375,0,0.0691975899263327,3,0.015625,0.0048828125,0.015625,0,0
tanh_Config4_Approx_100_10_5bit_A_cir0,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
tanh_Config4_Approx_10_5bit_C_cir8,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
tanh_Config4_Approx_10_10_SL_5bit_C_cir5,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
tanh_Config4_Approx_100_5bit_A_cir11,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
tanh_Config4_Approx_10_10_SL_5bit_C_cir1,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
tanh_Config4_Approx_10_5bit_B_cir8,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
tanh_Config4_Approx_10_10_SL_5bit_B_cir16,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
tanh_Config4_Approx_100_10_5bit_B_cir7,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
tanh_Config4_Approx_100_5bit_B_cir11,2,0.0625,0.5,0,0.0904144523042852,2,0.01953125,0.00830078125,0.01953125,0,0
