Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
tanh_Config1_Approx_100_5bit_B_cir0,7.524,51.078,307
tanh_Config1_Approx_100_5bit_B_cir18,7.524,83.399,344
tanh_Config1_Approx_100_10_5bit_C_cir3,7.524,83.401,344
tanh_Config1_Approx_100_10_5bit_B_cir1,7.866,61.919,296
tanh_Config1_Approx_100_10_5bit_B_cir14,7.866,61.921,296
tanh_Config1_Approx_100_10_5bit_A_cir19,8.208,55.315,347
tanh_Config4_Approx_100_5bit_C_cir1,10.944,106.952,325
tanh_Config4_Approx_100_5bit_C_cir0,11.628,129.418,343
tanh_Config4_Approx_100_10_5bit_C_cir4,11.628,129.419,343
tanh_Config4_Approx_100_10_5bit_C_cir18,12.654,106.729,282
tanh_Config4_Approx_100_5bit_C_cir18,12.654,115.039,545
tanh_Config4_Approx_100_10_5bit_C_cir17,13.68,114.573,342
tanh_Config4_Approx_10_10_SL_5bit_C_cir14,13.68,114.574,342
tanh_Config4_Approx_100_10_5bit_C_cir0,13.68,118.638,348
tanh_Config4_Approx_100_10_5bit_C_cir11,13.68,118.639,348
tanh_Config3_Approx_100_10_5bit_C_cir10,18.126,239.844,329
tanh_Config3_Approx_100_10_5bit_C_cir1,18.126,239.989,329
tanh_Config1_Approx_100_10_5bit_A_cir14,4.788,40.357,236
tanh_Config1_Approx_100_10_5bit_B_cir17,5.13,39.114,336
tanh_Config1_Approx_100_10_5bit_A_cir0,5.472,52.639,234
tanh_Config1_Approx_100_5bit_B_cir13,5.472,55.743,262
tanh_Config1_Approx_100_10_5bit_A_cir1,5.472,55.745,262
tanh_Config4_Approx_100_10_5bit_C_cir10,9.576,85.684,296
tanh_Config4_Approx_100_10_5bit_C_cir16,10.26,100.45,296
tanh_Config4_Approx_100_10_5bit_C_cir14,10.602,82.917,336
tanh_Config3_Approx_100_10_5bit_C_cir6,16.074,206.411,334
tanh_Config3_Approx_100_10_5bit_C_cir4,16.074,206.555,334
tanh_Config3_Approx_100_10_5bit_C_cir0,16.074,222.238,392
tanh_Config3_Approx_100_10_5bit_C_cir19,22.572,264.047,850
tanh_Config3_Approx_10_10_SL_5bit_C_cir18,17.442,289.087,382
tanh_Config3_Approx_10_10_SL_5bit_C_cir4,20.862,286.977,685
tanh_Config2_Approx_100_5bit_C_cir15,20.52,311.028,631
tanh_Config4_Approx_10_10_SL_5bit_C_cir15,11.286,91.942,309
