Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
tanh_Config1_Approx_10_7bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_7bit_C_cir9,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_10_7bit_C_cir19,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_10_7bit_C_cir17,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_10_7bit_C_cir5,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_7bit_B_cir8,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_7bit_C_cir15,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_7bit_C_cir8,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_7bit_C_cir9,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_7bit_A_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_7bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_7bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_7bit_C_cir12,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_7bit_C_cir16,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_10_7bit_C_cir2,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_7bit_C_cir7,0,0,0,0,0,0,0,0,0,0,0
tanh_Config3_Approx_100_7bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_7bit_C_cir16,1,0.0078125,0.03125,0,0.00276213586400995,1,0.000244140625,7.62939453125e-06,0.000244140625,0,0
tanh_Config4_Approx_100_7bit_C_cir13,1,0.0078125,0.03125,0,0.00276213586400995,1,0.000244140625,7.62939453125e-06,0.000244140625,0,0
tanh_Config4_Approx_100_7bit_C_cir15,1,0.0078125,0.03125,0,0.00276213586400995,1,0.000244140625,7.62939453125e-06,0.000244140625,0,0
tanh_Config4_Approx_100_7bit_C_cir10,1,0.0078125,0.03125,0,0.00276213586400995,1,0.000244140625,7.62939453125e-06,0.000244140625,0,0
tanh_Config4_Approx_100_7bit_C_cir5,1,0.0078125,0.03125,0,0.00276213586400995,1,0.000244140625,7.62939453125e-06,0.000244140625,0,0
