Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
tanh_Config1_Approx_10_7bit_C_cir18,17.784,133.455,511
tanh_Config1_Approx_100_7bit_C_cir9,19.836,149.119,505
tanh_Config1_Approx_10_7bit_C_cir19,19.836,189.749,882
tanh_Config1_Approx_10_7bit_C_cir17,19.836,199.77,528
tanh_Config1_Approx_10_7bit_C_cir5,19.836,201.267,729
tanh_Config1_Approx_100_7bit_B_cir8,20.52,199.203,1068
tanh_Config1_Approx_100_7bit_C_cir15,20.862,175.35,740
tanh_Config1_Approx_100_7bit_C_cir8,22.23,241.554,684
tanh_Config1_Approx_100_10_7bit_C_cir9,22.23,309.784,750
tanh_Config1_Approx_100_7bit_A_cir0,23.256,271.005,616
tanh_Config4_Approx_100_7bit_C_cir14,37.962,365.484,602
tanh_Config3_Approx_100_7bit_C_cir18,59.85,828.369,1263
tanh_Config3_Approx_100_7bit_C_cir12,62.244,589.153,698
tanh_Config3_Approx_100_7bit_C_cir16,63.27,1010.974,1036
tanh_Config3_Approx_10_7bit_C_cir2,65.322,650.033,702
tanh_Config3_Approx_100_7bit_C_cir7,66.348,728.077,742
tanh_Config3_Approx_100_7bit_C_cir10,72.504,1002.961,1308
tanh_Config4_Approx_100_7bit_C_cir16,31.464,320.882,1007
tanh_Config4_Approx_100_7bit_C_cir13,34.2,391.312,651
tanh_Config4_Approx_100_7bit_C_cir15,34.2,391.313,651
tanh_Config4_Approx_100_7bit_C_cir10,34.542,354.749,750
tanh_Config4_Approx_100_7bit_C_cir5,36.252,333.985,752
tanh_Config4_Approx_100_7bit_C_cir12,36.252,333.986,752
tanh_Config4_Approx_100_7bit_C_cir11,38.304,304.712,1392
tanh_Config4_Approx_100_7bit_C_cir0,38.988,468.389,1172
tanh_Config4_Approx_10_7bit_C_cir12,40.014,303.86,1058
tanh_Config4_Approx_100_7bit_C_cir19,42.75,363.474,900
tanh_Config4_Approx_10_7bit_C_cir18,44.802,421.023,1427
tanh_Config3_Approx_100_7bit_C_cir13,58.14,641.573,763
tanh_Config3_Approx_10_7bit_C_cir18,58.14,654.297,688
tanh_Config3_Approx_10_7bit_C_cir11,59.508,586.9,737
tanh_Config3_Approx_100_7bit_C_cir4,59.85,603.019,589
tanh_Config3_Approx_10_7bit_C_cir1,60.192,592.122,713
tanh_Config3_Approx_10_7bit_C_cir6,60.192,634.53,662
tanh_Config3_Approx_10_7bit_C_cir14,62.244,736.771,1792
tanh_Config3_Approx_100_7bit_C_cir1,62.586,560.677,684
tanh_Config3_Approx_10_7bit_C_cir4,62.586,794.163,1863
tanh_Config3_Approx_10_7bit_C_cir17,63.27,780.804,1164
tanh_Config3_Approx_10_7bit_C_cir15,63.27,997.833,921
tanh_Config3_Approx_10_7bit_C_cir9,64.98,725.349,1248
tanh_Config3_Approx_10_7bit_C_cir7,65.322,700.771,1445
tanh_Config3_Approx_100_7bit_C_cir0,65.664,833.595,1504
tanh_Config3_Approx_100_7bit_C_cir8,66.006,669.831,1274
tanh_Config3_Approx_100_7bit_C_cir5,66.348,834.484,1565
tanh_Config3_Approx_100_7bit_C_cir14,70.11,888.944,1272
tanh_Config3_Approx_10_7bit_C_cir19,70.452,717.901,1529
tanh_Config3_Approx_100_7bit_C_cir2,70.452,739.504,1060
tanh_Config3_Approx_100_7bit_C_cir9,71.478,1030.116,1176
tanh_Config3_Approx_100_7bit_C_cir11,72.162,941.835,1483
tanh_Config3_Approx_10_7bit_C_cir13,72.504,688.078,1542
tanh_Config3_Approx_100_7bit_C_cir17,75.24,1277.206,1321
tanh_Config2_Approx_10_7bit_C_cir16,91.314,1208.371,1871
tanh_Config3_Approx_100_7bit_C_cir15,77.634,952.623,1409
tanh_Config2_Approx_100_7bit_C_cir3,84.132,1343.069,1394
tanh_Config4_Approx_10_7bit_C_cir6,33.516,356.365,591
tanh_Config3_Approx_10_7bit_C_cir3,61.56,616.704,783
tanh_Config3_Approx_100_7bit_C_cir6,69.426,852.611,1846
tanh_Config3_Approx_100_7bit_C_cir19,71.82,766.476,2327
tanh_Config3_Approx_10_7bit_C_cir16,72.162,701.032,1560
tanh_Config2_Approx_100_7bit_C_cir7,88.578,1410.937,1414
tanh_Config4_Approx_100_7bit_C_cir18,32.148,341.409,664
tanh_Config4_Approx_10_7bit_C_cir19,34.2,399.359,675
tanh_Config4_Approx_10_7bit_C_cir10,34.884,273.215,616
tanh_Config4_Approx_100_7bit_C_cir1,37.962,354.227,1351
tanh_Config3_Approx_10_7bit_C_cir12,59.85,606.626,730
tanh_Config3_Approx_100_7bit_C_cir3,62.928,922.663,1503
tanh_Config2_Approx_10_7bit_C_cir15,86.868,1332.272,1846
tanh_Config3_Approx_10_7bit_C_cir8,59.508,655.854,678
tanh_Config1_Approx_100_10_7bit_A_cir15,10.944,101.685,537
tanh_Config1_Approx_100_10_7bit_A_cir5,11.286,87.336,482
tanh_Config1_Approx_100_10_7bit_A_cir12,11.286,88.501,469
tanh_Config1_Approx_10_10_SL_7bit_B_cir1,11.286,92.606,458
tanh_Config1_Approx_100_10_7bit_A_cir16,11.628,93.534,537
tanh_Config1_Approx_100_10_7bit_A_cir13,11.628,95.883,559
tanh_Config1_Approx_100_10_7bit_A_cir11,11.628,103.469,615
tanh_Config1_Approx_100_7bit_B_cir10,11.97,74.007,480
tanh_Config1_Approx_100_10_7bit_A_cir0,11.97,85.954,447
