Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
GeLU_Config2_Approx_10_6bit_cir13,17.784,203.644,712
GeLU_Config2_Approx_10_6bit_cir12,18.81,181.998,543
GeLU_Config2_Approx_100_10_6bit_cir19,19.152,145.213,570
GeLU_Config2_Approx_10_6bit_cir7,19.152,156.859,609
GeLU_Config2_Approx_100_10_6bit_cir5,19.152,215.733,750
GeLU_Config2_Approx_10_6bit_cir11,19.494,144.095,610
GeLU_Config2_Approx_100_6bit_cir19,19.494,170.642,565
GeLU_Config2_Approx_100_6bit_cir2,20.178,182.283,723
GeLU_Config2_Approx_100_6bit_cir1,20.52,243.823,525
GeLU_Config2_Approx_100_6bit_cir10,20.862,243.246,478
GeLU_Config2_Approx_100_6bit_cir6,21.204,141.169,733
GeLU_Config2_Approx_10_6bit_cir6,21.204,241.284,774
GeLU_Config2_Approx_10_6bit_cir19,22.914,177.29,603
GeLU_Config1_Approx_10_6bit_cir13,24.282,250.783,880
GeLU_Config2_Approx_10_6bit_cir14,24.624,242.064,762
GeLU_Config1_Approx_100_6bit_cir10,24.624,284.415,706
GeLU_Config1_Approx_100_6bit_cir12,25.308,245.126,820
GeLU_Config1_Approx_10_6bit_cir1,25.65,309.669,912
GeLU_Config1_Approx_100_6bit_cir14,25.65,310.497,812
GeLU_Config1_Approx_100_6bit_cir16,26.334,247.792,852
GeLU_Config1_Approx_10_6bit_cir8,26.676,250.301,807
GeLU_Config1_Approx_100_6bit_cir4,26.676,250.793,787
GeLU_Config1_Approx_100_6bit_cir13,26.676,273.194,1124
GeLU_Config1_Approx_100_6bit_cir19,26.676,285.442,879
GeLU_Config1_Approx_100_6bit_cir17,26.676,300.958,803
GeLU_Config1_Approx_10_6bit_cir16,26.676,301.341,941
GeLU_Config1_Approx_10_6bit_cir6,26.676,361.556,820
GeLU_Config1_Approx_100_6bit_cir18,27.018,277.283,855
GeLU_Config1_Approx_100_6bit_cir1,27.36,288.803,720
