Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
GeLU_Config1_Approx_100_8bit_cir5,29.07,273.481,1067
GeLU_Config1_Approx_100_8bit_cir14,29.412,259.55,873
GeLU_Config1_Approx_100_8bit_cir6,29.412,265.506,963
GeLU_Config1_Approx_100_8bit_cir0,30.096,254.636,934
GeLU_Config1_Approx_100_8bit_cir1,30.78,260.669,1014
GeLU_Config1_Approx_100_8bit_cir12,30.78,287.572,1214
GeLU_Config1_Approx_100_8bit_cir13,30.78,345.762,992
GeLU_Config1_Approx_10_8bit_cir0,31.122,263.462,896
GeLU_Config1_Approx_100_8bit_cir11,31.464,268.537,1047
GeLU_Config1_Approx_10_8bit_cir18,31.464,283.665,843
GeLU_Config1_Approx_100_8bit_cir19,31.464,305.973,971
GeLU_Config1_Approx_100_8bit_cir18,31.464,322.385,1011
GeLU_Config1_Approx_100_8bit_cir3,31.806,268.895,916
GeLU_Config1_Approx_10_8bit_cir11,31.806,286.748,954
GeLU_Config1_Approx_100_8bit_cir7,31.806,310.147,817
GeLU_Config1_Approx_10_8bit_cir7,32.148,261.599,967
GeLU_Config1_Approx_10_8bit_cir13,32.148,304.543,950
GeLU_Config1_Approx_100_8bit_cir16,32.49,274.863,1135
GeLU_Config1_Approx_100_8bit_cir17,32.49,281.1,1034
GeLU_Config1_Approx_10_8bit_cir2,32.49,282.685,1211
GeLU_Config1_Approx_10_8bit_cir12,32.49,302.767,920
GeLU_Config1_Approx_10_8bit_cir1,32.49,314.091,837
GeLU_Config1_Approx_100_8bit_cir8,32.832,335.766,1114
GeLU_Config1_Approx_100_8bit_cir4,33.174,300.042,1100
GeLU_Config1_Approx_10_8bit_cir16,33.858,255.963,1318
GeLU_Config1_Approx_100_8bit_cir10,33.858,289.118,1054
GeLU_Config1_Approx_10_8bit_cir8,34.542,315.089,1284
GeLU_Config1_Approx_10_8bit_cir3,34.884,372.88,945
GeLU_Config1_Approx_100_8bit_cir2,35.226,338.931,767
GeLU_Config1_Approx_100_8bit_cir15,38.304,347.184,1079
GeLU_Config4_Approx_100_10_8bit_cir10,66.348,813.371,1447
GeLU_Config4_Approx_100_10_8bit_cir14,68.058,859.477,1458
GeLU_Config4_Approx_100_10_8bit_cir6,70.11,761.23,1588
GeLU_Config4_Approx_100_10_8bit_cir18,72.162,662.688,1552
GeLU_Config4_Approx_100_10_8bit_cir0,72.504,626.57,1507
GeLU_Config2_Approx_100_8bit_cir11,74.556,953.13,1982
GeLU_Config2_Approx_100_8bit_cir4,75.582,898.652,1719
GeLU_Config2_Approx_10_8bit_cir15,75.582,977.286,1519
GeLU_Config2_Approx_10_8bit_cir8,76.608,933.468,1252
GeLU_Config2_Approx_100_8bit_cir8,76.608,945.212,1637
GeLU_Config4_Approx_100_10_8bit_cir13,76.95,804.051,1688
GeLU_Config2_Approx_100_8bit_cir1,76.95,956.152,1360
GeLU_Config2_Approx_100_8bit_cir17,79.686,1028.448,1434
GeLU_Config4_Approx_100_10_8bit_cir8,80.028,831.181,1547
GeLU_Config2_Approx_100_8bit_cir5,80.028,907.532,1491
GeLU_Config2_Approx_100_8bit_cir6,82.08,1216.095,1488
GeLU_Config2_Approx_100_8bit_cir0,82.08,1340.746,2047
GeLU_Config4_Approx_100_10_8bit_cir5,82.764,961.951,1886
GeLU_Config2_Approx_100_8bit_cir16,84.474,937.861,1503
GeLU_Config2_Approx_10_8bit_cir9,59.85,639.571,1637
GeLU_Config2_Approx_100_8bit_cir18,69.426,846.392,1366
GeLU_Config2_Approx_100_8bit_cir7,73.53,815.658,1665
