Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
GeLU_Config1_Approx_100_10_4bit_cir10,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_4bit_cir4,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_4bit_cir11,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_4bit_cir0,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_10_SL_4bit_cir13,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_4bit_cir5,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_4bit_cir1,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
GeLU_Config3_Approx_10_4bit_cir12,1,0.0625,0.25,0,0.0625,1,0.015625,0.00390625,0.015625,0,0
GeLU_Config3_Approx_10_4bit_cir9,1,0.0625,0.25,0,0.0625,2,0.015625,0.00390625,0.0125,0,0
GeLU_Config4_Approx_10_4bit_cir12,1,0.0625,0.5,0,0.125,1,0.03125,0.015625,0.0208333333333333,0,0
GeLU_Config4_Approx_100_10_4bit_cir1,1,0.0625,0.5,0,0.125,1,0.03125,0.015625,0.03125,0,0
GeLU_Config3_Approx_100_4bit_cir18,1,0.0625,0.5,0,0.125,1,0.03125,0.015625,0.03125,0,0
GeLU_Config4_Approx_10_4bit_cir9,1,0.0625,0.5,0,0.125,2,0.03125,0.015625,0.0125,0,0
GeLU_Config1_Approx_10_4bit_cir12,1,0.0625,1,0,0.25,1,0.0625,0.0625,0.0208333333333333,0,0
GeLU_Config3_Approx_10_10_SL_4bit_cir17,1,0.0625,1,0,0.25,1,0.0625,0.0625,0.0625,0,0
GeLU_Config1_Approx_100_10_4bit_cir1,1,0.0625,1,0,0.25,1,0.0625,0.0625,0.0625,0,0
GeLU_Config4_Approx_100_4bit_cir18,1,0.0625,1,0,0.25,1,0.0625,0.0625,0.0625,0,0
GeLU_Config1_Approx_10_4bit_cir9,1,0.0625,1,0,0.25,2,0.0625,0.0625,0.0125,0,0
GeLU_Config4_Approx_10_10_SL_4bit_cir17,1,0.0625,2,0,0.5,1,0.125,0.25,0.0833333333333333,0,0
GeLU_Config1_Approx_100_4bit_cir18,1,0.0625,2,0,0.5,1,0.125,0.25,0.125,0,0
GeLU_Config1_Approx_10_10_SL_4bit_cir17,1,0.0625,4,0,1,1,0.25,1,0.0833333333333333,0,0
GeLU_Config3_Approx_100_4bit_cir10,2,0.125,0.25,0,0.0853912563829966,2,0.03125,0.0078125,0.028125,0,0
GeLU_Config4_Approx_100_4bit_cir10,2,0.125,0.5,0,0.170782512765993,2,0.0625,0.03125,0.04375,0,0
GeLU_Config1_Approx_100_4bit_cir10,2,0.125,1,0,0.341565025531987,2,0.125,0.125,0.075,0,0
