Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
GeLU_Config1_Approx_100_8bit_cir5,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir14,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir6,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir0,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir1,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir12,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir13,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir0,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir11,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir18,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir19,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir18,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir3,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir11,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir7,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir7,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir13,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir16,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir17,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir2,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir12,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir1,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir8,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir4,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir16,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir10,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir8,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_8bit_cir3,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir2,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_8bit_cir15,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config4_Approx_100_10_8bit_cir10,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config4_Approx_100_10_8bit_cir14,0,0,0,0,0,0,0,0,0,0,0
