Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
GeLU_Config2_Approx_100_5bit_cir11,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_10_5bit_cir9,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir18,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_5bit_cir10,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir3,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir17,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir14,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir10,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir5,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir8,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir1,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_10_5bit_cir19,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_10_5bit_cir17,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_10_5bit_cir9,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_5bit_cir16,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir16,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_5bit_cir12,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir3,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir9,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_5bit_cir19,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir12,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir9,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir19,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_5bit_cir1,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir0,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir7,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir10,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir0,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir6,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_10_5bit_cir4,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_10_5bit_cir2,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_10_5bit_cir7,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir15,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_10_5bit_cir14,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_5bit_cir16,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir8,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_5bit_cir17,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_10_5bit_cir0,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_10_5bit_cir15,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_10_5bit_cir1,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir11,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir17,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_10_5bit_cir18,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config2_Approx_100_10_5bit_cir2,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_5bit_cir10,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_5bit_cir3,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_5bit_cir11,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_5bit_cir16,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_5bit_cir5,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_5bit_cir7,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_5bit_cir9,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_5bit_cir19,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_5bit_cir19,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_5bit_cir3,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_5bit_cir15,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_5bit_cir14,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_5bit_cir9,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_5bit_cir8,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_5bit_cir14,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_5bit_cir0,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_10_5bit_cir17,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_5bit_cir3,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config1_Approx_100_10_5bit_cir15,0,0,0,0,0,0,0,0,0,0,0
GeLU_Config3_Approx_100_5bit_cir13,1,0.03125,0.25,0,0.0441941738241592,1,0.0078125,0.001953125,0.0078125,0,0
GeLU_Config4_Approx_100_5bit_cir13,1,0.03125,0.5,0,0.0883883476483184,1,0.015625,0.0078125,0.015625,0,0
GeLU_Config3_Approx_100_5bit_cir12,1,0.03125,0.5,0,0.0883883476483184,1,0.015625,0.0078125,0.015625,0,0
GeLU_Config3_Approx_10_5bit_cir6,1,0.03125,0.75,0,0.132582521472478,2,0.0234375,0.017578125,0.0234375,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir12,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_5bit_cir1,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_5bit_cir18,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_10_5bit_cir12,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_10_10_SL_5bit_cir8,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_5bit_cir9,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_5bit_cir16,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_10_5bit_cir1,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_5bit_cir10,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_10_5bit_cir6,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_5bit_cir13,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_5bit_cir12,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_100_5bit_cir2,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config1_Approx_10_5bit_cir16,1,0.03125,1,0,0.176776695296637,1,0.03125,0.03125,0.03125,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir16,1,0.03125,1.5,0,0.265165042944955,2,0.046875,0.0703125,0.046875,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir11,1,0.03125,1.5,0,0.265165042944955,2,0.046875,0.0703125,0.046875,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir6,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir5,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir16,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir9,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir2,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir0,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir4,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir17,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir14,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir3,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir1,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir8,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir18,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config3_Approx_10_10_SL_5bit_cir7,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0357142857142857,0,0
GeLU_Config1_Approx_100_5bit_cir4,1,0.03125,2,0,0.353553390593274,1,0.0625,0.125,0.0625,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir11,1,0.03125,3,0,0.530330085889911,2,0.09375,0.28125,0.09375,0,0
GeLU_Config1_Approx_100_10_5bit_cir10,1,0.03125,3,0,0.530330085889911,2,0.09375,0.28125,0.09375,0,0
GeLU_Config1_Approx_10_5bit_cir6,1,0.03125,3,0,0.530330085889911,2,0.09375,0.28125,0.09375,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir6,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir5,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir16,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir9,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir9,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir2,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir8,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir1,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir0,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir17,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir4,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir3,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir17,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir5,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir15,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir6,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir14,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir3,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir13,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir10,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir2,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config2_Approx_10_10_SL_5bit_cir0,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir8,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir18,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config4_Approx_10_10_SL_5bit_cir7,1,0.03125,4,0,0.707106781186548,1,0.125,0.5,0.0357142857142857,0,0
GeLU_Config3_Approx_10_5bit_cir16,2,0.0625,1,0,0.19507546099874,2,0.046875,0.0390625,0.0269886363636364,0,0
GeLU_Config1_Approx_100_5bit_cir17,2,0.0625,1,0,0.245934688418982,2,0.0625,0.0625,0.0130208333333333,0,0
GeLU_Config1_Approx_10_5bit_cir11,2,0.0625,1,0,0.245934688418982,2,0.0625,0.0625,0.0357142857142857,0,0
