Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
GeLU_Config1_Approx_10_7bit_cir3,28.386,290.022,897
GeLU_Config1_Approx_10_7bit_cir0,28.728,311.636,1008
GeLU_Config1_Approx_10_7bit_cir11,28.728,337.687,919
GeLU_Config1_Approx_10_7bit_cir4,29.412,293.998,822
GeLU_Config1_Approx_100_7bit_cir4,29.412,328.183,880
GeLU_Config1_Approx_10_7bit_cir7,29.754,294.717,835
GeLU_Config1_Approx_100_7bit_cir1,29.754,295.609,737
GeLU_Config1_Approx_10_7bit_cir13,29.754,319.358,857
GeLU_Config1_Approx_10_7bit_cir19,29.754,330.119,1014
GeLU_Config1_Approx_100_7bit_cir15,29.754,330.363,1017
GeLU_Config1_Approx_100_7bit_cir8,29.754,356.885,1180
GeLU_Config1_Approx_10_7bit_cir1,30.096,289.919,911
GeLU_Config1_Approx_100_7bit_cir13,30.096,320.697,762
GeLU_Config1_Approx_100_7bit_cir6,30.096,335.619,860
GeLU_Config1_Approx_100_7bit_cir12,30.096,341.612,844
GeLU_Config1_Approx_100_7bit_cir5,30.438,301.051,1057
GeLU_Config1_Approx_10_7bit_cir18,30.438,307.467,1108
GeLU_Config1_Approx_10_7bit_cir16,30.438,309.452,780
GeLU_Config1_Approx_10_7bit_cir10,30.438,333.095,824
GeLU_Config1_Approx_100_7bit_cir2,31.122,306.052,954
GeLU_Config1_Approx_100_7bit_cir11,31.122,348.665,1122
GeLU_Config1_Approx_10_7bit_cir2,31.122,351.013,955
GeLU_Config1_Approx_10_7bit_cir8,31.464,307.169,863
GeLU_Config1_Approx_10_7bit_cir9,31.464,355.054,1157
GeLU_Config1_Approx_10_7bit_cir12,32.148,342.153,789
GeLU_Config1_Approx_100_7bit_cir0,32.49,327.624,695
GeLU_Config1_Approx_100_7bit_cir14,32.49,354.994,914
GeLU_Config1_Approx_100_7bit_cir19,32.832,393.221,1043
GeLU_Config1_Approx_100_7bit_cir3,33.174,428.839,933
GeLU_Config1_Approx_100_7bit_cir18,33.516,375.763,956
GeLU_Config1_Approx_100_7bit_cir9,34.2,386.98,905
GeLU_Config1_Approx_100_7bit_cir16,36.594,409.299,790
GeLU_Config1_Approx_10_7bit_cir15,38.646,524.684,1109
GeLU_Config4_Approx_100_7bit_cir16,38.988,422.966,1179
GeLU_Config4_Approx_100_7bit_cir18,39.672,402.515,1547
GeLU_Config3_Approx_100_7bit_cir14,39.672,411.645,1411
GeLU_Config4_Approx_100_7bit_cir4,40.014,375.356,1156
GeLU_Config2_Approx_100_7bit_cir1,40.356,376.857,1103
GeLU_Config4_Approx_10_7bit_cir8,40.356,453.872,1307
GeLU_Config4_Approx_100_7bit_cir14,40.356,469.406,1302
GeLU_Config3_Approx_100_7bit_cir11,42.066,357.314,903
GeLU_Config3_Approx_100_7bit_cir9,42.066,366.217,1234
GeLU_Config2_Approx_100_7bit_cir10,42.066,415.694,1137
GeLU_Config2_Approx_100_7bit_cir6,42.75,486.633,821
GeLU_Config2_Approx_10_7bit_cir6,42.75,523.385,1260
GeLU_Config3_Approx_10_7bit_cir7,43.092,406.505,917
GeLU_Config2_Approx_100_7bit_cir14,43.092,410.173,1328
GeLU_Config4_Approx_100_7bit_cir5,43.092,543.995,1638
GeLU_Config2_Approx_10_7bit_cir11,43.092,549.147,1198
GeLU_Config2_Approx_100_7bit_cir5,43.092,641.929,1284
GeLU_Config3_Approx_100_7bit_cir6,43.776,425.67,855
GeLU_Config4_Approx_100_7bit_cir9,43.776,461.785,1389
GeLU_Config3_Approx_100_7bit_cir7,45.828,551.887,1154
GeLU_Config2_Approx_100_7bit_cir7,46.17,390.469,992
GeLU_Config3_Approx_100_7bit_cir12,47.196,436.283,1287
GeLU_Config2_Approx_100_7bit_cir16,47.196,501.659,1113
GeLU_Config2_Approx_100_7bit_cir9,48.906,386.281,857
GeLU_Config2_Approx_100_7bit_cir4,48.906,578.9,1381
GeLU_Config2_Approx_100_7bit_cir2,49.248,575.621,1342
GeLU_Config2_Approx_100_7bit_cir19,41.724,578.943,1368
GeLU_Config2_Approx_10_7bit_cir18,42.408,384.905,1003
GeLU_Config2_Approx_100_7bit_cir15,43.092,512.347,1737
GeLU_Config3_Approx_100_7bit_cir16,43.434,463.652,1593
GeLU_Config3_Approx_100_7bit_cir8,46.512,496.351,994
GeLU_Config3_Approx_100_7bit_cir17,48.564,648.733,1154
GeLU_Config4_Approx_100_7bit_cir1,29.07,317.413,1048
GeLU_Config4_Approx_100_7bit_cir6,29.754,316.144,1115
GeLU_Config4_Approx_100_7bit_cir11,30.096,289.21,1154
GeLU_Config4_Approx_100_10_7bit_cir6,30.096,315.479,862
GeLU_Config4_Approx_10_7bit_cir19,30.438,343.092,1400
GeLU_Config4_Approx_10_7bit_cir13,31.122,345.298,1109
GeLU_Config4_Approx_10_7bit_cir10,31.122,391.378,1017
GeLU_Config4_Approx_10_7bit_cir17,31.464,324.889,989
GeLU_Config4_Approx_10_7bit_cir12,31.464,334.341,1076
GeLU_Config4_Approx_100_7bit_cir12,31.464,356.528,1001
GeLU_Config4_Approx_100_7bit_cir15,31.464,389.87,1115
GeLU_Config4_Approx_10_7bit_cir18,31.806,356.965,1058
GeLU_Config4_Approx_10_7bit_cir14,32.49,355.979,1033
GeLU_Config4_Approx_100_7bit_cir7,33.174,346.908,1336
GeLU_Config4_Approx_10_7bit_cir2,33.174,410.21,846
GeLU_Config4_Approx_100_7bit_cir3,33.174,428.486,1205
GeLU_Config4_Approx_100_10_7bit_cir13,33.516,368.505,1017
GeLU_Config4_Approx_100_7bit_cir2,33.858,439.638,1150
GeLU_Config4_Approx_100_10_7bit_cir16,34.2,324.402,904
GeLU_Config4_Approx_10_7bit_cir6,34.2,393.043,660
GeLU_Config4_Approx_100_7bit_cir0,34.2,404.143,1317
GeLU_Config4_Approx_10_7bit_cir1,34.542,360.876,1362
GeLU_Config4_Approx_100_7bit_cir8,34.542,452.581,1334
GeLU_Config4_Approx_100_7bit_cir13,34.884,344.141,1095
GeLU_Config4_Approx_100_7bit_cir10,34.884,384.907,1550
GeLU_Config4_Approx_10_7bit_cir7,34.884,395.503,938
GeLU_Config4_Approx_10_7bit_cir11,34.884,465.549,978
GeLU_Config4_Approx_100_7bit_cir19,35.226,438.467,1260
GeLU_Config4_Approx_10_7bit_cir4,35.568,421.81,778
GeLU_Config4_Approx_100_10_7bit_cir1,35.91,349.478,1105
GeLU_Config4_Approx_100_10_7bit_cir19,36.252,402.099,1089
GeLU_Config4_Approx_10_7bit_cir5,36.252,510.347,1096
GeLU_Config4_Approx_10_7bit_cir15,36.594,325.892,1242
GeLU_Config4_Approx_10_7bit_cir9,36.594,338.622,1169
GeLU_Config4_Approx_10_10_SL_7bit_cir4,36.594,425.832,1036
GeLU_Config4_Approx_100_10_7bit_cir18,36.594,497.88,1077
GeLU_Config4_Approx_100_10_7bit_cir8,37.278,382.853,1093
GeLU_Config4_Approx_10_7bit_cir0,37.278,388.845,984
GeLU_Config4_Approx_100_10_7bit_cir5,37.62,327.985,990
GeLU_Config4_Approx_100_7bit_cir17,37.62,417.506,1090
GeLU_Config4_Approx_100_10_7bit_cir15,37.962,397.297,1112
GeLU_Config4_Approx_10_7bit_cir3,38.646,417.181,973
GeLU_Config4_Approx_100_10_7bit_cir7,38.646,484.256,1232
GeLU_Config4_Approx_100_10_7bit_cir4,38.988,438.354,980
GeLU_Config4_Approx_100_10_7bit_cir3,38.988,457.73,1076
GeLU_Config4_Approx_100_10_7bit_cir0,39.33,444.601,1108
GeLU_Config4_Approx_100_10_7bit_cir11,40.698,450.817,953
GeLU_Config4_Approx_10_7bit_cir16,43.434,505.478,1271
GeLU_Config1_Approx_10_7bit_cir14,24.966,311.939,650
GeLU_Config2_Approx_10_7bit_cir12,39.33,396.184,1047
GeLU_Config2_Approx_100_7bit_cir17,41.04,365.496,988
GeLU_Config2_Approx_10_7bit_cir8,41.04,492.907,1592
GeLU_Config3_Approx_10_7bit_cir5,46.17,554.468,1869
GeLU_Config2_Approx_10_7bit_cir7,43.776,531.47,1146
GeLU_Config3_Approx_10_7bit_cir9,45.486,432.675,989
GeLU_Config2_Approx_10_7bit_cir1,48.906,640.456,1783
GeLU_Config4_Approx_100_10_7bit_cir14,31.464,351.654,793
GeLU_Config4_Approx_100_10_7bit_cir12,33.516,337.221,1019
GeLU_Config4_Approx_100_10_7bit_cir17,39.672,435.562,750
GeLU_Config1_Approx_100_7bit_cir17,25.308,298.978,862
GeLU_Config1_Approx_10_7bit_cir17,25.992,276.606,886
GeLU_Config3_Approx_100_7bit_cir13,40.014,457.803,886
GeLU_Config4_Approx_100_10_7bit_cir2,36.594,369.64,816
GeLU_Config1_Approx_100_7bit_cir7,31.806,325.761,856
GeLU_Config1_Approx_10_7bit_cir5,20.52,248.631,667
GeLU_Config1_Approx_100_10_7bit_cir19,20.52,251.788,527
GeLU_Config4_Approx_100_10_7bit_cir9,31.806,356.253,1053
GeLU_Config3_Approx_10_7bit_cir17,40.014,535.344,1213
GeLU_Config1_Approx_100_10_7bit_cir13,21.204,255.746,705
GeLU_Config1_Approx_100_10_7bit_cir11,22.23,258.354,674
GeLU_Config1_Approx_100_10_7bit_cir17,23.598,248.699,697
GeLU_Config1_Approx_100_10_7bit_cir10,23.598,272.919,672
GeLU_Config4_Approx_10_10_SL_7bit_cir6,29.754,258.957,956
GeLU_Config4_Approx_100_10_7bit_cir10,38.646,429.138,800
GeLU_Config4_Approx_10_10_SL_7bit_cir17,33.174,319.238,812
GeLU_Config1_Approx_100_7bit_cir10,30.096,296.18,955
GeLU_Config4_Approx_10_10_SL_7bit_cir15,24.282,340.281,525
GeLU_Config4_Approx_10_10_SL_7bit_cir3,25.992,369.143,864
GeLU_Config4_Approx_10_10_SL_7bit_cir9,26.334,328.596,797
GeLU_Config4_Approx_10_10_SL_7bit_cir8,32.148,384.99,762
GeLU_Config4_Approx_10_10_SL_7bit_cir7,35.568,363.238,790
GeLU_Config4_Approx_10_10_SL_7bit_cir11,30.096,318.06,542
GeLU_Config4_Approx_10_10_SL_7bit_cir13,30.096,390.237,681
GeLU_Config4_Approx_10_10_SL_7bit_cir5,28.728,356.082,869
GeLU_Config4_Approx_10_10_SL_7bit_cir14,23.598,334.125,847
GeLU_Config4_Approx_10_10_SL_7bit_cir0,26.334,349.156,665
GeLU_Config4_Approx_10_10_SL_7bit_cir16,31.464,334.486,953
GeLU_Config4_Approx_10_10_SL_7bit_cir19,33.858,423.805,996
GeLU_Config4_Approx_10_10_SL_7bit_cir2,28.386,330.221,983
GeLU_Config1_Approx_100_10_7bit_cir1,18.468,250.282,602
GeLU_Config1_Approx_100_10_7bit_cir3,17.1,226.627,693
GeLU_Config1_Approx_100_10_7bit_cir0,17.442,199.861,720
GeLU_Config1_Approx_100_10_7bit_cir16,18.126,214.25,758
GeLU_Config1_Approx_10_10_SL_7bit_cir11,18.468,198.627,707
GeLU_Config1_Approx_100_10_7bit_cir12,18.81,241.205,567
GeLU_Config4_Approx_10_10_SL_7bit_cir10,30.096,380.551,462
GeLU_Config4_Approx_10_10_SL_7bit_cir18,29.412,371.684,446
GeLU_Config1_Approx_100_10_7bit_cir9,27.36,286.656,1033
GeLU_Config4_Approx_10_10_SL_7bit_cir12,20.178,313.657,434
GeLU_Config4_Approx_10_10_SL_7bit_cir1,27.018,329.519,774
GeLU_Config3_Approx_10_7bit_cir11,38.988,443.511,1502
GeLU_Config3_Approx_10_7bit_cir16,31.464,274.393,1010
GeLU_Config3_Approx_10_7bit_cir19,31.464,290.416,975
GeLU_Config2_Approx_10_7bit_cir10,33.516,246.248,1111
GeLU_Config2_Approx_10_7bit_cir2,34.884,401.109,1008
GeLU_Config2_Approx_10_7bit_cir3,35.226,261.575,1041
GeLU_Config3_Approx_100_7bit_cir3,35.568,238.772,992
GeLU_Config2_Approx_100_7bit_cir3,35.568,336.031,1043
GeLU_Config3_Approx_100_7bit_cir15,35.568,369.474,1246
GeLU_Config3_Approx_100_7bit_cir18,35.91,296.39,1272
GeLU_Config2_Approx_10_7bit_cir0,35.91,306.978,1470
GeLU_Config2_Approx_100_7bit_cir8,35.91,330.291,1034
GeLU_Config2_Approx_100_7bit_cir18,36.252,310.329,932
GeLU_Config3_Approx_10_7bit_cir10,36.594,296.836,854
GeLU_Config3_Approx_10_7bit_cir14,36.594,343.517,1019
GeLU_Config2_Approx_10_7bit_cir17,37.278,247.377,1131
GeLU_Config3_Approx_10_7bit_cir18,37.62,274.325,944
GeLU_Config2_Approx_10_7bit_cir13,37.962,348.427,920
GeLU_Config3_Approx_100_7bit_cir2,37.962,380.778,1389
GeLU_Config3_Approx_10_7bit_cir3,38.646,309.503,1021
GeLU_Config2_Approx_10_7bit_cir19,39.672,305.267,1229
GeLU_Config3_Approx_100_7bit_cir0,40.014,352.552,1310
GeLU_Config3_Approx_100_7bit_cir1,40.356,293.187,1206
GeLU_Config2_Approx_100_7bit_cir13,40.356,345.66,818
GeLU_Config2_Approx_100_7bit_cir11,40.356,364.327,1052
GeLU_Config3_Approx_10_7bit_cir2,41.04,308.979,826
GeLU_Config2_Approx_10_7bit_cir5,41.04,331.418,1192
GeLU_Config3_Approx_100_7bit_cir19,41.04,407.315,1262
GeLU_Config2_Approx_10_7bit_cir16,41.724,432.876,1324
GeLU_Config3_Approx_10_7bit_cir1,42.066,368.706,1112
GeLU_Config3_Approx_10_7bit_cir12,42.066,412.621,987
GeLU_Config3_Approx_100_7bit_cir4,43.092,337.752,1061
GeLU_Config3_Approx_100_7bit_cir10,43.092,380.187,1163
GeLU_Config2_Approx_100_7bit_cir0,43.092,390.001,1457
GeLU_Config2_Approx_100_7bit_cir12,43.434,550.341,1100
GeLU_Config3_Approx_100_7bit_cir5,47.196,743.933,1660
GeLU_Config1_Approx_10_10_SL_7bit_cir1,13.338,192.988,579
GeLU_Config1_Approx_10_10_SL_7bit_cir13,13.68,153.92,536
GeLU_Config1_Approx_10_10_SL_7bit_cir8,13.68,153.921,536
GeLU_Config1_Approx_10_10_SL_7bit_cir10,13.68,201.237,483
GeLU_Config1_Approx_10_10_SL_7bit_cir3,14.022,216.497,565
GeLU_Config1_Approx_10_10_SL_7bit_cir15,14.022,217.118,565
GeLU_Config1_Approx_10_10_SL_7bit_cir4,14.364,178.866,455
GeLU_Config1_Approx_10_10_SL_7bit_cir14,14.364,181.576,517
GeLU_Config1_Approx_10_10_SL_7bit_cir5,14.364,212.026,463
GeLU_Config1_Approx_100_10_7bit_cir2,14.364,213.741,460
GeLU_Config1_Approx_100_10_7bit_cir6,15.048,168.345,534
GeLU_Config1_Approx_100_10_7bit_cir14,15.732,203.801,385
GeLU_Config1_Approx_100_10_7bit_cir15,15.732,203.803,385
GeLU_Config2_Approx_10_7bit_cir14,34.542,299.577,1039
GeLU_Config2_Approx_10_7bit_cir15,34.542,372.531,994
GeLU_Config3_Approx_10_7bit_cir0,36.252,305.567,1065
GeLU_Config3_Approx_10_7bit_cir4,36.936,403.071,1052
GeLU_Config3_Approx_10_7bit_cir15,30.78,260.608,1110
GeLU_Config2_Approx_10_7bit_cir4,32.832,306.678,901
GeLU_Config3_Approx_10_7bit_cir13,34.2,277.589,1465
GeLU_Config2_Approx_10_7bit_cir9,34.884,327.833,815
GeLU_Config3_Approx_10_7bit_cir6,36.594,264.546,1055
GeLU_Config3_Approx_100_10_7bit_cir6,30.78,310.388,1077
GeLU_Config2_Approx_10_10_SL_7bit_cir3,28.386,216.07,538
GeLU_Config2_Approx_100_10_7bit_cir0,32.148,453.116,1159
GeLU_Config3_Approx_10_7bit_cir8,33.516,373.562,1289
GeLU_Config2_Approx_100_10_7bit_cir4,33.858,282.475,1108
GeLU_Config3_Approx_100_10_7bit_cir14,34.2,270.857,1100
GeLU_Config2_Approx_100_10_7bit_cir8,31.806,209.227,1020
GeLU_Config3_Approx_100_10_7bit_cir1,30.78,349.312,1244
GeLU_Config2_Approx_100_10_7bit_cir2,35.91,430.111,738
GeLU_Config3_Approx_100_10_7bit_cir0,32.49,387.488,1250
GeLU_Config3_Approx_10_10_SL_7bit_cir17,26.334,305.08,1143
GeLU_Config3_Approx_100_10_7bit_cir17,30.438,478.276,764
GeLU_Config2_Approx_10_10_SL_7bit_cir18,32.832,280.445,1142
GeLU_Config3_Approx_100_10_7bit_cir19,35.91,408.835,860
GeLU_Config2_Approx_10_10_SL_7bit_cir6,32.148,333.264,924
GeLU_Config3_Approx_100_10_7bit_cir5,35.568,313.213,1295
GeLU_Config2_Approx_100_10_7bit_cir5,31.464,295.263,937
GeLU_Config2_Approx_100_10_7bit_cir17,36.936,296.033,832
GeLU_Config2_Approx_100_10_7bit_cir1,33.858,398.432,1365
GeLU_Config3_Approx_100_10_7bit_cir16,34.542,287.231,834
GeLU_Config2_Approx_100_10_7bit_cir10,31.806,365.95,1160
GeLU_Config2_Approx_100_10_7bit_cir16,32.49,242.746,786
GeLU_Config2_Approx_10_10_SL_7bit_cir0,29.412,439.363,1344
GeLU_Config3_Approx_100_10_7bit_cir8,29.07,338.421,844
GeLU_Config3_Approx_100_10_7bit_cir3,29.412,265.586,958
GeLU_Config3_Approx_10_10_SL_7bit_cir0,26.334,266.339,669
GeLU_Config2_Approx_10_10_SL_7bit_cir19,24.282,309.434,523
GeLU_Config2_Approx_100_10_7bit_cir19,25.308,242.252,878
GeLU_Config3_Approx_100_10_7bit_cir9,30.096,257.482,980
GeLU_Config3_Approx_100_10_7bit_cir18,34.884,307.238,709
GeLU_Config2_Approx_100_10_7bit_cir14,35.91,249.308,732
GeLU_Config2_Approx_10_10_SL_7bit_cir8,33.516,275.277,1026
GeLU_Config3_Approx_10_10_SL_7bit_cir16,24.624,271.157,704
GeLU_Config2_Approx_100_10_7bit_cir18,28.386,208.485,759
GeLU_Config2_Approx_100_10_7bit_cir11,29.07,248.509,802
GeLU_Config3_Approx_100_10_7bit_cir13,29.07,289.417,884
GeLU_Config3_Approx_10_10_SL_7bit_cir3,26.334,294.292,998
GeLU_Config3_Approx_100_10_7bit_cir4,37.962,345.026,1398
GeLU_Config2_Approx_10_10_SL_7bit_cir12,29.412,298.138,693
GeLU_Config3_Approx_10_10_SL_7bit_cir10,28.044,290.907,845
GeLU_Config3_Approx_10_10_SL_7bit_cir8,28.386,200.469,907
GeLU_Config2_Approx_100_10_7bit_cir6,36.252,315.887,1169
GeLU_Config3_Approx_100_10_7bit_cir7,30.438,306.636,817
GeLU_Config2_Approx_100_10_7bit_cir13,30.096,278.703,871
GeLU_Config3_Approx_100_10_7bit_cir11,31.122,283.718,874
GeLU_Config3_Approx_10_10_SL_7bit_cir14,32.148,240.323,720
GeLU_Config2_Approx_100_10_7bit_cir12,31.464,283.696,860
GeLU_Config3_Approx_100_10_7bit_cir2,32.49,310.697,630
