Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
GeLU_Config1_Approx_100_10_4bit_cir10,9.576,96.904,309
GeLU_Config1_Approx_100_10_4bit_cir4,9.918,95.73,313
GeLU_Config1_Approx_100_10_4bit_cir11,10.26,109.473,250
GeLU_Config1_Approx_100_10_4bit_cir0,10.26,111.816,333
GeLU_Config1_Approx_10_10_SL_4bit_cir13,10.602,158.331,553
GeLU_Config1_Approx_100_10_4bit_cir5,11.97,135.977,355
GeLU_Config3_Approx_100_10_4bit_cir1,8.892,79.956,250
GeLU_Config3_Approx_10_4bit_cir12,10.26,99.479,250
GeLU_Config3_Approx_10_4bit_cir9,11.286,111.564,442
GeLU_Config4_Approx_10_4bit_cir12,10.26,99.479,250
GeLU_Config4_Approx_100_10_4bit_cir1,8.892,79.956,250
GeLU_Config3_Approx_100_4bit_cir18,9.918,87.393,199
GeLU_Config4_Approx_10_4bit_cir9,11.286,111.564,442
GeLU_Config1_Approx_10_4bit_cir12,10.26,99.479,250
GeLU_Config3_Approx_10_10_SL_4bit_cir17,8.208,76.94,313
GeLU_Config1_Approx_100_10_4bit_cir1,8.892,79.956,250
GeLU_Config4_Approx_100_4bit_cir18,9.918,87.393,199
GeLU_Config1_Approx_10_4bit_cir9,11.286,111.564,442
GeLU_Config4_Approx_10_10_SL_4bit_cir17,8.208,76.94,313
GeLU_Config1_Approx_100_4bit_cir18,9.918,87.393,199
GeLU_Config1_Approx_10_10_SL_4bit_cir17,8.208,76.94,313
GeLU_Config3_Approx_100_4bit_cir10,8.208,86.656,248
GeLU_Config4_Approx_100_4bit_cir10,8.208,86.656,248
GeLU_Config1_Approx_100_4bit_cir10,8.208,86.656,248
