Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Softplus_Config1_Approx_100_10_4bit_cir0,4.104,62.957,68
Softplus_Config4_Approx_100_10_4bit_cir0,5.814,77.038,110
Softplus_Config3_Approx_100_10_4bit_cir4,14.706,184.578,472
Softplus_Config3_Approx_10_10_SL_4bit_cir11,14.706,186.19,481
Softplus_Config3_Approx_10_4bit_cir5,14.706,196.858,370
Softplus_Config3_Approx_10_4bit_cir16,14.706,264.373,877
Softplus_Config3_Approx_100_10_4bit_cir6,15.048,214.237,543
Softplus_Config3_Approx_10_10_SL_4bit_cir5,15.048,222.121,429
Softplus_Config3_Approx_100_10_4bit_cir12,15.048,250.951,460
Softplus_Config3_Approx_100_4bit_cir8,15.048,267.428,532
Softplus_Config3_Approx_100_10_4bit_cir16,15.39,209.882,429
Softplus_Config3_Approx_100_4bit_cir17,15.39,212.302,400
Softplus_Config3_Approx_100_10_4bit_cir18,15.732,213.686,606
Softplus_Config3_Approx_100_4bit_cir12,15.732,238.833,485
Softplus_Config3_Approx_100_10_4bit_cir0,15.732,242.76,746
Softplus_Config3_Approx_100_10_4bit_cir17,15.732,243.753,616
Softplus_Config3_Approx_100_10_4bit_cir14,15.732,245.22,692
Softplus_Config3_Approx_10_10_SL_4bit_cir8,15.732,251.222,625
Softplus_Config3_Approx_10_4bit_cir10,15.732,255.25,550
Softplus_Config3_Approx_100_4bit_cir0,15.732,268.822,535
Softplus_Config3_Approx_10_4bit_cir3,15.732,276.362,537
Softplus_Config3_Approx_100_10_4bit_cir3,16.074,228.646,612
Softplus_Config3_Approx_100_4bit_cir19,16.074,244.778,719
Softplus_Config3_Approx_100_4bit_cir13,16.074,251.411,687
Softplus_Config3_Approx_100_10_4bit_cir19,16.074,268.465,487
Softplus_Config3_Approx_10_10_SL_4bit_cir19,16.074,276.076,742
Softplus_Config3_Approx_10_10_SL_4bit_cir15,16.074,290.7,689
Softplus_Config3_Approx_100_10_4bit_cir9,16.416,248.344,465
Softplus_Config3_Approx_100_10_4bit_cir10,16.416,249.192,557
Softplus_Config3_Approx_10_4bit_cir9,16.416,256.367,557
Softplus_Config3_Approx_10_10_SL_4bit_cir13,16.416,264.819,535
Softplus_Config3_Approx_100_4bit_cir3,16.416,271.069,608
Softplus_Config3_Approx_10_4bit_cir1,16.416,273.092,613
Softplus_Config3_Approx_100_4bit_cir7,16.416,277.091,710
Softplus_Config3_Approx_10_10_SL_4bit_cir12,16.416,277.092,710
Softplus_Config3_Approx_100_10_4bit_cir7,16.416,278.197,714
Softplus_Config3_Approx_100_4bit_cir6,16.416,289.583,684
Softplus_Config3_Approx_10_10_SL_4bit_cir0,16.416,293.566,780
Softplus_Config3_Approx_100_4bit_cir4,16.416,293.567,780
Softplus_Config3_Approx_100_4bit_cir15,16.416,294.672,784
Softplus_Config3_Approx_10_4bit_cir11,16.758,247.166,552
Softplus_Config3_Approx_10_4bit_cir13,17.1,267.458,1020
Softplus_Config3_Approx_10_4bit_cir0,17.1,270.423,450
Softplus_Config3_Approx_10_4bit_cir14,17.442,250.39,461
Softplus_Config3_Approx_100_4bit_cir2,17.442,257.563,499
Softplus_Config3_Approx_10_10_SL_4bit_cir1,17.442,314.355,508
Softplus_Config3_Approx_100_10_4bit_cir5,17.784,306.121,827
Softplus_Config3_Approx_10_4bit_cir19,18.126,307.735,628
Softplus_Config3_Approx_10_4bit_cir4,18.126,384.041,695
Softplus_Config3_Approx_100_10_4bit_cir11,18.468,272.078,662
Softplus_Config3_Approx_10_10_SL_4bit_cir10,20.862,379.671,799
Softplus_Config4_Approx_10_4bit_cir5,4.104,62.957,68
Softplus_Config3_Approx_10_10_SL_4bit_cir3,16.074,258.797,681
Softplus_Config4_Approx_100_10_4bit_cir7,5.814,57.01,233
Softplus_Config1_Approx_10_10_SL_4bit_cir9,4.788,47.827,187
Softplus_Config1_Approx_100_10_4bit_cir10,5.472,48.558,96
Softplus_Config1_Approx_100_10_4bit_cir18,4.104,48.335,181
Softplus_Config1_Approx_10_10_SL_4bit_cir11,4.788,52.68,187
Softplus_Config1_Approx_10_10_SL_4bit_cir1,4.788,50.389,187
Softplus_Config1_Approx_100_10_4bit_cir11,2.736,44.16,68
Softplus_Config1_Approx_100_10_4bit_cir19,2.736,44.16,68
Softplus_Config1_Approx_100_10_4bit_cir16,3.762,51.162,68
Softplus_Config1_Approx_100_10_4bit_cir14,2.736,44.16,68
Softplus_Config1_Approx_100_10_4bit_cir5,3.42,30.553,110
Softplus_Config1_Approx_10_10_SL_4bit_cir0,2.736,41.295,68
Softplus_Config1_Approx_10_10_SL_4bit_cir18,2.736,41.295,68
Softplus_Config1_Approx_10_10_SL_4bit_cir6,2.736,41.295,68
Softplus_Config1_Approx_10_10_SL_4bit_cir8,2.736,41.302,68
