Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Softplus_Config1_Approx_100_10_5bit_cir1,5.472,85.455,68
Softplus_Config2_Approx_100_10_5bit_cir1,7.866,96.825,167
Softplus_Config3_Approx_100_5bit_cir4,23.598,270.734,516
Softplus_Config3_Approx_100_5bit_cir3,23.598,335.072,849
Softplus_Config3_Approx_10_5bit_cir5,24.282,331.74,661
Softplus_Config3_Approx_100_5bit_cir12,24.624,317.281,856
Softplus_Config3_Approx_100_5bit_cir13,24.966,314.973,870
Softplus_Config3_Approx_100_5bit_cir10,25.308,347.751,939
Softplus_Config3_Approx_100_5bit_cir6,25.308,390.551,820
Softplus_Config3_Approx_10_5bit_cir13,25.65,368.317,582
Softplus_Config3_Approx_10_5bit_cir8,25.992,369.536,691
Softplus_Config3_Approx_10_5bit_cir18,26.334,342.038,557
Softplus_Config3_Approx_100_5bit_cir19,27.702,427.368,1104
Softplus_Config3_Approx_100_5bit_cir18,28.728,394.319,1118
Softplus_Config3_Approx_10_5bit_cir9,31.464,436.911,1173
Softplus_Config3_Approx_10_5bit_cir11,25.65,386.737,917
Softplus_Config3_Approx_10_5bit_cir14,26.334,419.57,1174
Softplus_Config3_Approx_10_5bit_cir1,22.914,372.443,702
Softplus_Config3_Approx_100_10_5bit_cir11,23.94,311.677,373
Softplus_Config3_Approx_100_5bit_cir8,24.966,411.346,1320
Softplus_Config2_Approx_100_10_5bit_cir0,5.472,85.455,68
Softplus_Config3_Approx_10_5bit_cir3,20.178,228.724,522
Softplus_Config3_Approx_100_10_5bit_cir16,21.888,335.596,548
Softplus_Config3_Approx_10_5bit_cir19,23.598,351.179,510
Softplus_Config3_Approx_100_5bit_cir2,23.598,362.071,641
Softplus_Config3_Approx_10_5bit_cir16,24.282,387.082,625
Softplus_Config3_Approx_100_5bit_cir17,24.282,396.062,730
Softplus_Config3_Approx_10_5bit_cir2,24.966,366.84,853
Softplus_Config3_Approx_100_5bit_cir9,25.65,299.704,647
Softplus_Config3_Approx_100_5bit_cir11,25.65,391.211,782
