Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Sigmoid_Config4_Approx_10_7bit_C_cir8,56.088,668.931,1090
Sigmoid_Config2_Approx_100_7bit_C_cir10,66.006,963.055,1268
Sigmoid_Config2_Approx_100_7bit_C_cir9,69.084,942.164,1538
Sigmoid_Config4_Approx_10_7bit_C_cir19,45.486,483.712,1079
Sigmoid_Config4_Approx_100_7bit_C_cir17,54.036,854.81,1239
Sigmoid_Config4_Approx_10_7bit_C_cir5,54.72,574.021,1397
Sigmoid_Config4_Approx_100_7bit_C_cir1,54.72,676.972,1481
Sigmoid_Config4_Approx_100_7bit_C_cir14,57.456,717.373,1257
Sigmoid_Config2_Approx_10_7bit_C_cir15,64.296,772.328,1336
Sigmoid_Config2_Approx_100_7bit_C_cir15,67.716,886.057,1563
Sigmoid_Config2_Approx_100_7bit_C_cir12,70.11,925.51,1489
Sigmoid_Config2_Approx_100_7bit_C_cir16,68.058,954.343,1952
Sigmoid_Config2_Approx_100_7bit_C_cir14,72.162,890.384,1844
Sigmoid_Config2_Approx_100_7bit_C_cir17,66.69,931.041,1864
Sigmoid_Config4_Approx_100_7bit_C_cir8,58.824,912.499,1237
Sigmoid_Config4_Approx_100_7bit_C_cir19,45.486,527.78,1366
Sigmoid_Config4_Approx_100_7bit_C_cir15,44.802,456.501,693
Sigmoid_Config4_Approx_100_7bit_C_cir16,49.932,435.966,978
Sigmoid_Config4_Approx_10_7bit_C_cir11,45.144,527.309,874
Sigmoid_Config4_Approx_100_7bit_C_cir2,44.46,511.375,667
Sigmoid_Config4_Approx_100_7bit_C_cir13,45.486,409.877,1140
Sigmoid_Config4_Approx_100_7bit_C_cir7,46.854,557.435,1377
Sigmoid_Config2_Approx_100_7bit_C_cir5,67.032,1150.844,1748
Sigmoid_Config4_Approx_10_7bit_C_cir13,46.17,521.792,830
Sigmoid_Config2_Approx_10_7bit_C_cir18,74.214,855.603,2081
Sigmoid_Config4_Approx_100_7bit_C_cir0,48.564,436.108,1100
Sigmoid_Config4_Approx_10_7bit_C_cir7,46.854,707.505,1249
Sigmoid_Config4_Approx_100_7bit_C_cir4,48.906,771.352,1003
Sigmoid_Config2_Approx_100_7bit_C_cir3,68.742,1075.275,1690
Sigmoid_Config1_Approx_10_7bit_C_cir6,16.074,144.433,601
Sigmoid_Config1_Approx_100_10_7bit_A_cir7,16.416,107.942,560
Sigmoid_Config1_Approx_100_7bit_A_cir8,16.416,112.442,697
Sigmoid_Config1_Approx_100_10_7bit_B_cir8,16.416,112.46,615
Sigmoid_Config1_Approx_100_7bit_A_cir14,16.416,124.83,486
Sigmoid_Config1_Approx_100_7bit_C_cir17,16.416,128.381,606
Sigmoid_Config1_Approx_10_7bit_B_cir9,16.416,133.426,598
Sigmoid_Config1_Approx_10_7bit_A_cir1,16.416,150.542,564
Sigmoid_Config1_Approx_100_10_7bit_B_cir16,16.416,150.568,542
Sigmoid_Config1_Approx_100_10_7bit_C_cir16,16.416,153.722,804
Sigmoid_Config1_Approx_100_10_7bit_B_cir3,16.758,108.799,642
Sigmoid_Config1_Approx_100_10_7bit_A_cir15,16.758,157.019,746
Sigmoid_Config1_Approx_100_10_7bit_C_cir2,17.1,108.071,717
Sigmoid_Config1_Approx_100_10_7bit_A_cir17,17.1,119.475,623
Sigmoid_Config1_Approx_100_7bit_A_cir13,17.1,126.673,629
Sigmoid_Config1_Approx_10_7bit_B_cir12,17.1,131.428,508
Sigmoid_Config1_Approx_10_7bit_A_cir12,17.1,133.795,577
Sigmoid_Config1_Approx_10_7bit_C_cir16,17.1,147.441,715
Sigmoid_Config1_Approx_100_7bit_B_cir2,17.1,155.863,746
Sigmoid_Config1_Approx_100_10_7bit_B_cir6,17.1,163.562,612
Sigmoid_Config1_Approx_100_10_7bit_C_cir4,17.442,93.676,738
Sigmoid_Config1_Approx_100_7bit_B_cir16,17.442,115.725,609
Sigmoid_Config1_Approx_100_7bit_A_cir2,17.442,118.708,618
Sigmoid_Config1_Approx_100_7bit_C_cir18,17.442,139.443,710
Sigmoid_Config1_Approx_100_10_7bit_C_cir17,17.442,142.772,908
Sigmoid_Config1_Approx_10_7bit_B_cir13,17.442,146.457,594
Sigmoid_Config1_Approx_10_7bit_C_cir11,17.442,149.695,658
Sigmoid_Config1_Approx_100_10_7bit_B_cir9,17.442,154.756,730
Sigmoid_Config1_Approx_100_10_7bit_C_cir13,17.442,155.257,897
Sigmoid_Config1_Approx_10_10_SL_7bit_C_cir9,17.442,157.204,783
Sigmoid_Config1_Approx_100_10_7bit_C_cir9,17.442,157.257,667
