Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
Sigmoid_Config1_Approx_100_6bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config1_Approx_100_6bit_C_cir19,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config1_Approx_10_6bit_C_cir6,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config1_Approx_100_6bit_B_cir2,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir8,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir11,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir6,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir6,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir4,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir12,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir16,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir15,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir9,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir15,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir13,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir17,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir8,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir3,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir7,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir7,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir12,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir6,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir9,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir12,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir8,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir2,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir9,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir19,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir11,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir3,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir12,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir17,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir16,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir7,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir5,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir5,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
Sigmoid_Config1_Approx_100_6bit_C_cir5,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config1_Approx_100_10_6bit_B_cir10,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config1_Approx_100_10_6bit_C_cir3,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir8,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir19,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir11,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir4,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config3_Approx_10_6bit_C_cir1,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config2_Approx_100_6bit_C_cir10,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir18,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config2_Approx_10_6bit_C_cir19,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir4,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
Sigmoid_Config3_Approx_100_6bit_C_cir13,1,0.015625,0.0625,0,0.0078125,1,0.0009765625,6.103515625e-05,0.0009765625,0,0
