Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Sigmoid_Config4_Approx_10_8bit_C_cir5,91.998,1608.91,1456
Sigmoid_Config4_Approx_100_8bit_C_cir15,93.024,1531.474,1623
Sigmoid_Config4_Approx_100_8bit_C_cir3,109.098,1610.89,1962
Sigmoid_Config2_Approx_10_8bit_C_cir17,120.042,2282.5,2173
Sigmoid_Config2_Approx_100_8bit_C_cir5,126.198,2005.949,2076
Sigmoid_Config4_Approx_100_8bit_C_cir13,93.708,1555.914,1541
Sigmoid_Config4_Approx_10_8bit_C_cir16,97.128,1128.564,1471
Sigmoid_Config4_Approx_10_8bit_C_cir12,103.284,1830.353,2030
Sigmoid_Config4_Approx_10_8bit_C_cir11,106.02,1394.444,1898
Sigmoid_Config4_Approx_100_8bit_C_cir18,107.388,1401.928,1699
Sigmoid_Config4_Approx_10_8bit_C_cir3,112.176,1484.519,1625
Sigmoid_Config4_Approx_100_8bit_C_cir12,113.544,1428.665,1706
Sigmoid_Config2_Approx_100_8bit_C_cir19,134.406,1927.313,2266
Sigmoid_Config4_Approx_100_8bit_C_cir2,103.968,1073.902,917
Sigmoid_Config4_Approx_100_8bit_C_cir6,98.496,983.308,977
Sigmoid_Config4_Approx_10_8bit_C_cir6,100.548,1498.148,1465
Sigmoid_Config4_Approx_100_8bit_C_cir10,102.6,1528.179,1651
Sigmoid_Config4_Approx_10_8bit_C_cir17,103.626,1375.396,1932
Sigmoid_Config4_Approx_10_8bit_C_cir7,112.86,1548.851,2028
Sigmoid_Config4_Approx_100_8bit_C_cir7,87.552,940.073,1780
Sigmoid_Config4_Approx_10_8bit_C_cir9,88.578,996.302,1752
Sigmoid_Config4_Approx_10_8bit_C_cir15,92.34,1097.767,1680
Sigmoid_Config4_Approx_100_8bit_C_cir5,93.024,1181.497,2162
Sigmoid_Config4_Approx_10_8bit_C_cir13,95.76,1509.988,1781
Sigmoid_Config4_Approx_100_8bit_C_cir11,96.102,1426.291,1749
