Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Sigmoid_Config1_Approx_100_10_5bit_B_cir12,8.208,86.789,339
Sigmoid_Config1_Approx_100_10_5bit_B_cir13,8.208,86.791,339
Sigmoid_Config1_Approx_10_10_SL_5bit_C_cir11,8.55,69.708,296
Sigmoid_Config2_Approx_10_5bit_C_cir11,11.97,111.879,576
Sigmoid_Config2_Approx_100_10_5bit_C_cir0,12.996,119.214,294
Sigmoid_Config3_Approx_100_10_5bit_C_cir0,14.706,163.074,428
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir2,16.416,200.648,635
Sigmoid_Config3_Approx_100_5bit_C_cir8,16.416,218.174,589
Sigmoid_Config3_Approx_10_5bit_C_cir6,17.1,227.761,685
Sigmoid_Config3_Approx_10_5bit_C_cir4,17.442,228.402,556
Sigmoid_Config3_Approx_100_5bit_C_cir7,19.152,269.589,740
Sigmoid_Config1_Approx_100_10_5bit_A_cir14,5.814,40.914,296
Sigmoid_Config2_Approx_100_10_5bit_B_cir10,9.234,133.247,267
Sigmoid_Config2_Approx_100_5bit_B_cir3,11.628,106.006,274
Sigmoid_Config3_Approx_100_10_5bit_C_cir10,12.312,159.389,523
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir7,12.654,151.118,282
Sigmoid_Config3_Approx_100_10_5bit_C_cir17,12.654,154.776,267
Sigmoid_Config3_Approx_100_5bit_C_cir1,12.996,166.33,291
Sigmoid_Config3_Approx_100_10_5bit_C_cir13,13.338,146.549,838
Sigmoid_Config3_Approx_100_10_5bit_C_cir12,13.68,135.494,844
Sigmoid_Config3_Approx_100_10_5bit_C_cir15,13.68,179.229,537
Sigmoid_Config3_Approx_10_5bit_C_cir7,14.364,150.313,602
Sigmoid_Config3_Approx_100_5bit_C_cir12,15.732,206.556,769
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir12,15.732,223.416,466
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir6,17.1,202.813,754
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir19,17.1,205.318,684
Sigmoid_Config3_Approx_10_5bit_C_cir19,17.1,210.5,699
Sigmoid_Config3_Approx_100_10_5bit_C_cir6,17.1,225.142,826
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir1,18.81,224.622,895
Sigmoid_Config2_Approx_10_10_SL_5bit_A_cir9,8.55,121.132,296
Sigmoid_Config3_Approx_100_10_5bit_B_cir3,9.576,122.674,432
Sigmoid_Config3_Approx_100_10_5bit_B_cir1,10.944,158.936,261
Sigmoid_Config1_Approx_100_10_5bit_A_cir11,5.13,68.409,210
Sigmoid_Config1_Approx_100_10_5bit_A_cir0,5.472,42.736,269
Sigmoid_Config1_Approx_100_10_5bit_C_cir2,5.814,43.598,336
Sigmoid_Config1_Approx_100_10_5bit_A_cir1,6.156,52.578,295
Sigmoid_Config2_Approx_10_10_SL_5bit_C_cir11,10.26,101.437,369
Sigmoid_Config2_Approx_10_10_SL_5bit_C_cir14,10.944,115.379,240
Sigmoid_Config2_Approx_10_10_SL_5bit_C_cir16,11.628,102.304,294
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir14,13.338,142.822,322
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir8,14.364,174.293,581
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir5,15.048,201.912,545
Sigmoid_Config3_Approx_100_10_5bit_B_cir10,9.576,87.004,335
Sigmoid_Config2_Approx_100_10_5bit_B_cir1,9.576,87.917,215
Sigmoid_Config2_Approx_100_10_5bit_B_cir13,9.576,102.931,278
Sigmoid_Config2_Approx_100_10_5bit_B_cir0,9.918,74.422,262
Sigmoid_Config3_Approx_100_5bit_B_cir9,9.918,140.705,227
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir14,10.26,129.001,582
Sigmoid_Config3_Approx_100_10_5bit_B_cir14,10.602,124.593,272
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir10,11.286,123.644,267
Sigmoid_Config3_Approx_100_10_5bit_B_cir0,11.286,153.325,445
Sigmoid_Config3_Approx_100_10_5bit_B_cir15,11.286,189.438,454
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir16,11.628,133.267,448
Sigmoid_Config3_Approx_100_10_5bit_B_cir6,11.628,134.861,448
Sigmoid_Config3_Approx_100_5bit_B_cir8,11.628,139.712,414
Sigmoid_Config3_Approx_10_5bit_B_cir10,11.628,143.628,414
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir15,11.628,147.714,768
Sigmoid_Config3_Approx_10_5bit_B_cir12,11.97,164.204,472
Sigmoid_Config3_Approx_10_5bit_B_cir5,11.97,164.627,511
Sigmoid_Config3_Approx_100_10_5bit_B_cir2,12.312,135.356,724
Sigmoid_Config3_Approx_100_10_5bit_A_cir11,12.312,135.456,750
Sigmoid_Config3_Approx_10_5bit_B_cir9,12.312,143.681,791
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir8,12.312,165.821,427
Sigmoid_Config3_Approx_10_10_SL_5bit_C_cir17,12.654,130.822,404
Sigmoid_Config3_Approx_100_10_5bit_B_cir17,12.654,139.203,871
Sigmoid_Config3_Approx_10_10_SL_5bit_A_cir17,8.208,60.268,262
Sigmoid_Config3_Approx_100_5bit_A_cir8,8.892,83.608,288
Sigmoid_Config3_Approx_100_5bit_A_cir1,8.892,121.454,406
Sigmoid_Config3_Approx_100_10_5bit_A_cir0,9.234,102.206,245
Sigmoid_Config3_Approx_100_10_5bit_A_cir2,9.576,105.977,265
Sigmoid_Config3_Approx_100_5bit_A_cir19,9.576,111.648,374
Sigmoid_Config3_Approx_100_10_5bit_A_cir18,9.918,78.668,394
Sigmoid_Config3_Approx_10_10_SL_5bit_A_cir19,10.602,121.96,555
Sigmoid_Config3_Approx_10_5bit_A_cir11,11.97,155.212,381
Sigmoid_Config3_Approx_10_10_SL_5bit_A_cir3,12.996,131.465,483
Sigmoid_Config3_Approx_100_5bit_A_cir17,12.996,154.839,486
Sigmoid_Config3_Approx_100_5bit_A_cir3,12.996,175.292,766
Sigmoid_Config3_Approx_10_10_SL_5bit_A_cir7,13.338,168.094,477
Sigmoid_Config2_Approx_10_10_SL_5bit_A_cir14,7.866,60.603,177
Sigmoid_Config2_Approx_10_10_SL_5bit_B_cir16,7.866,112.38,366
Sigmoid_Config2_Approx_100_10_5bit_A_cir1,8.892,85.433,203
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir3,9.234,91.909,298
Sigmoid_Config3_Approx_100_5bit_B_cir4,10.26,152.346,393
Sigmoid_Config2_Approx_10_5bit_B_cir2,10.944,87.077,348
Sigmoid_Config3_Approx_100_10_5bit_B_cir11,11.97,124.457,552
Sigmoid_Config3_Approx_100_10_5bit_B_cir8,12.312,146.134,555
Sigmoid_Config3_Approx_100_10_5bit_B_cir16,15.048,197.288,490
Sigmoid_Config3_Approx_100_5bit_B_cir2,15.048,204.271,490
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir0,15.048,206.287,634
Sigmoid_Config3_Approx_100_5bit_B_cir18,15.048,208.278,505
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir7,15.048,218.239,542
Sigmoid_Config3_Approx_10_10_SL_5bit_B_cir4,15.048,218.698,542
Sigmoid_Config3_Approx_100_10_5bit_B_cir4,15.39,217.83,523
Sigmoid_Config3_Approx_10_10_SL_5bit_A_cir13,7.524,107.106,235
Sigmoid_Config2_Approx_100_10_5bit_A_cir0,7.866,67.775,314
Sigmoid_Config2_Approx_10_5bit_B_cir10,7.866,100.765,267
Sigmoid_Config2_Approx_10_5bit_B_cir17,8.208,61.332,215
Sigmoid_Config2_Approx_100_10_5bit_A_cir12,8.208,109.472,244
Sigmoid_Config3_Approx_100_10_5bit_A_cir1,8.55,96.917,272
Sigmoid_Config3_Approx_100_5bit_A_cir7,8.892,109.492,326
Sigmoid_Config3_Approx_100_5bit_A_cir16,10.26,106.679,285
Sigmoid_Config3_Approx_100_10_5bit_A_cir7,10.602,111.648,568
Sigmoid_Config2_Approx_10_5bit_A_cir7,6.156,39.389,196
Sigmoid_Config3_Approx_10_5bit_A_cir14,9.234,88.169,252
